,Luz (lux)
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,40
732,1806
733,5082
734,9432
735,15999
736,27446
737,26239
738,33226
739,36354
740,37601
741,39330
742,37180
743,39775
744,43032
745,50937
746,34366
747,28070
748,27446
749,35545
750,41139
751,10795
752,12777
753,9756
754,3880
755,1233
756,567
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,25
780,841
781,2589
782,5082
783,7533
784,9327
785,12216
786,16924
787,12922
788,25655
789,33226
790,41139
791,39330
792,33982
793,40679
794,29361
795,35947
796,46035
797,30368
798,26536
799,40679
800,41139
801,29033
802,6508
803,3924
804,600
805,3
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,18
828,813
829,5816
830,10795
831,15296
832,18310
833,25946
834,25655
835,22671
836,15469
837,8058
838,21674
839,15296
840,14460
841,15820
842,25946
843,22167
844,18938
845,19369
846,15999
847,13365
848,9756
849,7121
850,4294
851,1689
852,370
853,2
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,54
876,2832
877,5437
878,5198
879,9119
880,19810
881,25655
882,33602
883,39330
884,32488
885,32855
886,40225
887,38456
888,46555
889,50367
890,23449
891,20034
892,22167
893,44010
894,16180
895,13669
896,11678
897,9866
898,9222
899,6153
900,2187
901,10
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,35
924,2212
925,7704
926,12216
927,26239
928,15820
929,19369
930,23186
931,33602
932,42075
933,48152
934,28387
935,28387
936,31410
937,32124
938,20034
939,21919
940,30029
941,40679
942,12354
943,7791
944,8429
945,10090
946,9222
947,3924
948,727
949,6
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,9
972,1065
973,4804
974,8058
975,8335
976,10204
977,10554
978,21432
979,20489
980,37601
981,37180
982,30712
983,26239
984,41605
985,42075
986,39775
987,37601
988,41605
989,38456
990,31765
991,15644
992,14138
993,9756
994,5376
995,1053
996,112
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,14
1020,1427
1021,7449
1022,7791
1023,14460
1024,20489
1025,24805
1026,38891
1027,18938
1028,44010
1029,48152
1030,46035
1031,41605
1032,26836
1033,24253
1034,36354
1035,31059
1036,37601
1037,48152
1038,27139
1039,21432
1040,35148
1041,26239
1042,10554
1043,4105
1044,156
1045,3
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,17
1068,1077
1069,4105
1070,3587
1071,7365
1072,11291
1073,11944
1074,6436
1075,30712
1076,15820
1077,33226
1078,11040
1079,22167
1080,25085
1081,32124
1082,31765
1083,33602
1084,23186
1085,17116
1086,22167
1087,27446
1088,10554
1089,4246
1090,4151
1091,3353
1092,760
1093,5
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,34
1116,2420
1117,8718
1118,13516
1119,14956
1120,26536
1121,30712
1122,36354
1123,35545
1124,38456
1125,35947
1126,35545
1127,42551
1128,38891
1129,47082
1130,47614
1131,51513
1132,50937
1133,45520
1134,34755
1135,47082
1136,24805
1137,11165
1138,7968
1139,6582
1140,1261
1141,6
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,36
1164,1459
1165,5561
1166,9539
1167,23449
1168,15644
1169,30029
1170,28708
1171,29033
1172,28070
1173,26536
1174,30712
1175,18727
1176,37180
1177,50937
1178,36354
1179,29693
1180,31765
1181,40679
1182,32124
1183,19153
1184,14623
1185,11548
1186,9222
1187,4294
1188,1030
1189,13
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,12
1212,2237
1213,14460
1214,16548
1215,16924
1216,23186
1217,25085
1218,22167
1219,19588
1220,21674
1221,33226
1222,33982
1223,31410
1224,27756
1225,30368
1226,33226
1227,23449
1228,35947
1229,23449
1230,13980
1231,11419
1232,9432
1233,7879
1234,8150
1235,4342
1236,743
1237,6
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,24
1260,1053
1261,2801
1262,10795
1263,18106
1264,30029
1265,28708
1266,16363
1267,30029
1268,40679
1269,46035
1270,44508
1271,29361
1272,25369
1273,23449
1274,23714
1275,46555
1276,23714
1277,30368
1278,48152
1279,17903
1280,11291
1281,6153
1282,8917
1283,5257
1284,147
1285,2
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,49
1308,2864
1309,6963
1310,11165
1311,8429
