Direccion del viento (Pos)
NO
E
SO
O
O
O
SO
E
SO
E
E
E
O
NO
S
SE
E
NO
NO
E
E
E
NO
NO
E
SO
NO
E
E
NE
E
E
E
E
NO
NO
NE
SO
E
SE
SO
S
S
S
NO
SO
E
E
SE
SE
SE
SO
SO
SO
S
SE
SO
NO
S
NO
NE
E
E
SE
E
SE
SE
O
SO
O
SO
S
SO
S
S
SO
NE
E
E
E
NO
NO
SO
E
SE
S
S
E
S
S
E
SO
S
SO
E
SO
SO
NO
E
SO
SO
E
SE
S
E
E
NO
S
NO
NO
SO
NO
E
E
O
NO
E
NO
E
NO
NO
NO
NO
E
E
NO
NE
E
NO
E
NO
E
NO
NO
NO
E
E
E
NE
E
E
E
NO
O
O
NO
E
E
NO
SO
E
NO
E
SE
O
SO
S
SE
SE
O
O
SO
S
O
SO
O
O
O
NO
NO
NO
NO
O
NO
NO
NE
E
E
E
O
NO
NO
NO
E
E
E
E
E
SO
E
SO
SO
SE
SE
SO
SE
SO
S
E
SE
S
SO
SO
S
S
SO
S
SE
SO
S
NE
S
O
S
SO
S
SO
SO
O
NO
SO
NO
NO
SO
S
SE
SE
SE
S
SE
E
SE
S
S
SE
S
S
SO
SO
S
S
S
E
SE
SE
SE
SE
SE
SE
E
NO
S
SE
S
NO
SE
SE
E
S
S
S
SE
S
SE
SE
S
SO
SO
SO
SO
SO
S
S
S
S
SE
SE
SO
O
E
E
NO
S
S
E
E
E
SO
S
S
E
SO
SE
SE
S
SE
E
S
S
S
S
E
SE
SE
S
S
S
S
E
SE
SO
O
SO
SE
SE
SE
NE
SE
NE
SE
E
SE
E
SE
SE
SE
SE
NO
S
S
E
S
S
S
SE
E
SE
E
SE
SE
SE
S
SE
SE
S
E
SE
S
E
S
SO
S
SE
SE
SO
S
O
SO
S
SO
E
SO
S
E
NO
NO
NO
NO
NO
E
NO
E
NO
NE
NO
SO
E
NO
SO
NO
E
NO
NO
NO
NO
E
NO
NO
E
E
O
NO
NO
NO
O
E
E
E
SE
E
NE
SO
SO
E
E
E
E
E
E
NO
NO
NO
NO
E
NO
SO
NO
S
SO
S
E
E
SO
SO
NO
E
E
NO
NO
E
NO
E
NO
NO
E
E
E
NO
NE
NO
NO
E
NO
E
NO
NO
E
SO
O
SO
SO
SE
SO
SO
SE
O
SO
NO
NO
NO
E
NO
SO
NE
E
E
O
E
E
O
E
NO
SO
NO
E
NO
NO
E
E
E
E
O
NO
NO
E
O
NO
NO
NO
SO
SO
SO
SO
E
SO
E
O
E
NO
E
NO
O
NO
O
E
NO
E
NO
NO
NO
NO
E
E
E
E
E
NO
O
NO
NO
E
E
NO
NE
E
E
SO
E
E
E
E
E
SO
O
NO
S
SO
O
SO
SO
S
SE
SE
E
S
E
SE
SE
S
SO
SO
SO
SE
S
SE
E
E
E
SO
E
SO
SO
SO
SO
NO
NO
SO
SE
SO
SO
SO
SO
E
SO
E
E
E
NO
E
NO
E
E
NO
E
SE
SO
E
E
NO
E
E
NO
NO
E
E
E
E
SO
NO
E
NO
NO
NO
E
E
E
O
E
E
E
NO
E
E
NO
E
NO
NO
E
NO
E
E
NO
NO
NO
SO
SO
E
E
E
E
E
E
E
E
NO
E
NO
SO
SO
SO
E
O
NE
E
E
NO
NO
E
SO
E
