Fecha:,Precipitación (ml)
2018-01-12,0.85
2018-01-13,0.18125
2018-01-14,0.34437499999999993
2018-01-15,0.435
2018-01-16,0.0060416666666666665
2018-01-17,0.3689583333333333
2018-01-18,0.018510638297872337
2018-01-19,0.31416666666666665
2018-01-20,0.0
2018-01-21,0.012083333333333333
2018-01-22,0.0
2018-01-23,0.090625
2018-01-24,0.030208333333333334
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0060416666666666665
2018-01-31,0.012083333333333333
2018-02-01,0.0
2018-02-02,0.0060416666666666665
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0060416666666666665
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.018125
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0060416666666666665
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0060416666666666665
2018-03-08,0.0
2018-03-09,0.0060416666666666665
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0060416666666666665
2018-03-14,0.0060416666666666665
2018-03-15,0.006170212765957446
2018-03-16,0.0
2018-03-17,0.018125
2018-03-18,0.10875
2018-03-19,0.012083333333333333
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.030208333333333334
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.3383333333333333
2018-04-02,0.0
2018-04-03,0.22354166666666667
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,1.1272916666666666
2018-04-12,0.06041666666666667
2018-04-13,0.16916666666666666
2018-04-14,0.0
2018-04-15,0.04833333333333333
2018-04-16,0.8530612244897958
2018-04-17,0.024166666666666666
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.054375
2018-04-21,0.03625
2018-04-22,0.3329166666666667
2018-04-23,0.0
2018-04-24,0.028431372549019607
2018-04-25,0.1208333333333333
2018-04-26,1.4843749999999998
2018-04-27,0.06645833333333333
2018-04-28,0.0
2018-04-29,0.15708333333333332
2018-04-30,0.3822916666666667
2018-05-01,0.3383333333333333
2018-05-02,0.11479166666666667
2018-05-03,0.6210416666666666
2018-05-04,0.0
2018-05-05,0.25979166666666664
2018-05-06,0.04833333333333333
2018-05-07,1.1164583333333333
2018-05-08,0.024166666666666666
2018-05-09,0.16659574468085106
2018-05-10,0.3277083333333333
2018-05-11,0.030208333333333334
2018-05-12,0.030208333333333334
2018-05-13,0.0
2018-05-14,0.11479166666666667
2018-05-15,0.0
2018-05-16,0.024166666666666666
2018-05-17,0.0
2018-05-18,0.32625
2018-05-19,0.20541666666666666
2018-05-20,0.0
2018-05-21,0.07854166666666666
2018-05-22,0.14612244897959184
2018-05-23,0.316530612244898
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.03625
2018-05-27,0.16326530612244897
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.38755102040816325
2018-05-31,0.0
2018-06-01,0.21266666666666667
2018-06-02,0.0
2018-06-03,0.20734693877551022
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.8979591836734694
2018-06-09,0.024680851063829785
2018-06-10,0.0
2018-06-11,0.9568749999999998
2018-06-12,0.0
2018-06-13,0.03625
2018-06-14,1.8806382978723402
2018-06-15,0.04833333333333333
2018-06-16,0.0
2018-06-17,0.042291666666666665
2018-06-18,0.7002127659574467
2018-06-19,0.16916666666666666
2018-06-20,0.15104166666666666
2018-06-21,0.5177083333333333
2018-06-22,0.0
2018-06-23,0.04833333333333333
2018-06-24,0.16916666666666666
2018-06-25,0.0
2018-06-26,0.13291666666666666
2018-06-27,0.024166666666666666
2018-06-28,0.06645833333333333
2018-06-29,0.8364583333333332
2018-06-30,0.1208333333333333
2018-07-01,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-04,0.0
2018-07-05,0.3383333333333334
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.0
2018-07-10,2.129166666666667
2018-07-11,0.10875
2018-07-12,0.0
2018-07-13,0.0
2018-07-14,0.054375
2018-07-15,0.41083333333333333
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,0.0
2018-07-24,0.0
2018-07-25,0.06787234042553192
2018-07-26,0.024166666666666666
2018-07-27,0.0
2018-07-28,0.024166666666666666
2018-07-29,0.08458333333333333
2018-07-30,0.4833333333333332
2018-07-31,0.0
2018-08-01,0.875625
2018-08-02,0.0
2018-08-03,0.0
