Fecha.5,Hora.5,PORVL7N1
2018-01-12,01:21:29,1.16
2018-01-12,02:21:34,1.16
2018-01-12,03:21:25,1.16
2018-01-12,04:21:40,1.16
2018-01-12,05:21:40,1.16
2018-01-12,06:21:28,1.16
2018-01-12,07:21:29,1.15
2018-01-12,08:23:45,1.15
2018-01-12,09:21:31,1.14
2018-01-12,10:21:30,1.14
2018-01-12,11:21:26,1.14
2018-01-12,12:21:31,1.14
2018-01-12,13:21:27,1.14
2018-01-12,14:21:30,1.14
2018-01-12,15:21:28,1.13
2018-01-12,16:21:28,1.13
2018-01-12,17:21:28,1.13
2018-01-12,18:21:29,1.13
2018-01-12,19:21:29,1.12
2018-01-12,20:23:45,0.63
2018-01-12,21:23:45,0.54
2018-01-12,22:22:42,0.54
2018-01-12,23:21:29,0.54
2018-01-13,00:21:32,0.54
2018-01-13,01:21:27,0.54
2018-01-13,02:21:35,0.54
2018-01-13,03:21:28,0.54
2018-01-13,04:21:37,0.53
2018-01-13,05:21:34,0.53
2018-01-13,06:21:31,0.53
2018-01-13,07:21:47,0.53
2018-01-13,08:22:00,0.53
2018-01-13,09:21:31,0.54
2018-01-13,10:21:28,0.54
2018-01-13,11:21:32,0.56
2018-01-13,12:21:30,0.57
2018-01-13,13:21:31,0.58
2018-01-13,14:21:31,0.6
2018-01-13,15:22:06,0.62
2018-01-13,16:21:27,0.63
2018-01-13,17:21:30,0.65
2018-01-13,18:21:30,0.66
2018-01-13,19:21:28,0.68
2018-01-13,20:21:30,0.7
2018-01-13,21:21:29,0.72
2018-01-13,22:21:31,0.74
2018-01-13,23:21:32,0.76
2018-01-14,00:21:26,0.75
2018-01-14,01:21:27,0.6
2018-01-14,02:21:46,0.46
2018-01-14,03:21:28,0.46
2018-01-14,04:21:29,0.47
2018-01-14,05:21:29,0.47
2018-01-14,06:21:29,0.47
2018-01-14,07:21:33,0.47
2018-01-14,08:21:27,0.47
2018-01-14,09:21:27,0.47
2018-01-14,10:21:27,0.47
2018-01-14,11:21:28,0.47
2018-01-14,12:21:29,0.47
2018-01-14,13:21:32,0.48
2018-01-14,14:21:30,0.48
2018-01-14,15:21:31,0.48
2018-01-14,16:21:30,0.49
2018-01-14,17:21:27,0.5
2018-01-14,18:21:27,0.52
2018-01-14,19:22:05,0.54
2018-01-14,20:21:28,0.56
2018-01-14,21:21:29,0.66
2018-01-14,22:21:29,0.66
2018-01-14,23:21:29,0.67
2018-01-15,00:21:30,0.68
2018-01-15,01:21:31,0.69
2018-01-15,02:21:26,0.67
2018-01-15,03:21:27,0.41
2018-01-15,04:21:30,0.38
2018-01-15,05:22:03,0.37
2018-01-15,06:21:30,0.37
2018-01-15,07:21:36,0.38
2018-01-15,08:21:31,0.4
2018-01-15,09:21:31,0.41
2018-01-15,10:21:28,0.44
2018-01-15,11:21:32,0.45
2018-01-15,12:22:21,0.45
2018-01-15,13:21:39,0.45
2018-01-15,14:21:28,0.46
2018-01-15,15:21:30,0.47
2018-01-15,16:21:30,0.49
2018-01-15,17:21:31,0.5
2018-01-15,18:21:30,0.52
2018-01-15,19:21:27,0.54
2018-01-15,20:21:28,0.56
2018-01-15,21:21:37,0.58
2018-01-15,22:21:28,0.6
2018-01-15,23:21:28,0.63
2018-01-16,00:21:28,0.64
2018-01-16,01:21:30,0.66
2018-01-16,02:21:31,0.68
2018-01-16,03:21:28,0.7
2018-01-16,04:21:27,0.71
2018-01-16,05:21:31,0.72
2018-01-16,06:21:28,0.74
2018-01-16,07:21:30,0.75
2018-01-16,08:21:29,0.77
2018-01-16,09:21:32,0.78
2018-01-16,10:21:31,0.79
2018-01-16,11:21:31,0.81
2018-01-16,12:21:47,0.82
2018-01-16,13:21:28,0.83
2018-01-16,14:21:28,0.84
2018-01-16,15:21:28,0.84
2018-01-16,16:21:29,0.85
2018-01-16,17:21:33,0.85
2018-01-16,18:21:33,0.86
2018-01-16,19:21:53,0.87
2018-01-16,20:21:37,0.87
2018-01-16,21:21:35,0.88
2018-01-16,22:21:28,0.88
2018-01-16,23:21:28,0.89
2018-01-17,00:21:28,0.9
2018-01-17,01:21:30,0.9
2018-01-17,02:21:30,0.9
2018-01-17,03:21:29,0.91
2018-01-17,04:21:30,0.92
2018-01-17,05:21:31,0.92
2018-01-17,06:21:28,0.93
2018-01-17,07:21:31,0.93
2018-01-17,08:21:29,0.94
2018-01-17,09:21:29,0.94
2018-01-17,10:21:30,0.95
2018-01-17,11:21:31,0.96
2018-01-17,12:22:17,0.97
2018-01-17,13:21:33,0.97
2018-01-17,14:21:30,0.97
2018-01-17,15:21:29,0.98
2018-01-17,16:21:28,0.98
2018-01-17,17:21:29,0.98
2018-01-17,18:21:29,0.98
2018-01-17,19:21:30,0.98
2018-01-17,20:21:30,0.99
2018-01-17,21:21:31,0.99
2018-01-17,22:21:30,0.48
2018-01-17,23:23:27,0.46
2018-01-18,00:23:09,0.44
2018-01-18,01:21:48,0.44
2018-01-18,02:21:48,0.44
2018-01-18,03:22:45,0.45
2018-01-18,04:22:46,0.45
2018-01-18,05:22:46,0.46
2018-01-18,06:21:37,0.48
2018-01-18,07:21:34,0.51
2018-01-18,08:21:42,0.53
2018-01-18,09:21:42,0.62
2018-01-18,10:21:29,0.63
2018-01-18,11:21:29,0.64
2018-01-18,12:21:29,0.65
2018-01-18,13:21:36,0.66
2018-01-18,14:21:31,0.68
2018-01-18,15:21:33,0.69
2018-01-18,16:21:33,0.7
2018-01-18,17:21:28,0.71
2018-01-18,18:21:29,0.72
2018-01-18,19:22:08,0.73
2018-01-18,20:21:29,0.75
2018-01-18,21:21:30,0.76
2018-01-18,22:21:30,0.77
2018-01-18,23:21:34,0.79
2018-01-19,00:21:28,0.8
2018-01-19,01:21:43,0.81
2018-01-19,02:21:27,0.82
2018-01-19,03:21:28,0.8
2018-01-19,04:21:29,0.42
2018-01-19,05:21:29,0.43
2018-01-19,06:21:33,0.44
2018-01-19,07:21:35,0.44
2018-01-19,08:21:31,0.45
2018-01-19,09:21:29,0.46
2018-01-19,10:21:28,0.47
2018-01-19,11:22:24,0.47
2018-01-19,12:21:47,0.48
2018-01-19,13:21:35,0.49
2018-01-19,14:21:30,0.5
2018-01-19,15:21:32,0.51
2018-01-19,16:21:55,0.52
2018-01-19,17:21:28,0.54
