Fecha.13,Hora.13,PORVL16N2
2018-01-12,01:48:16,1.55
2018-01-12,02:48:17,1.56
2018-01-12,03:48:19,1.55
2018-01-12,04:48:23,1.54
2018-01-12,05:48:19,1.53
2018-01-12,06:48:18,1.54
2018-01-12,07:48:16,1.53
2018-01-12,08:48:16,1.53
2018-01-12,09:48:16,1.53
2018-01-12,10:48:16,1.55
2018-01-12,11:48:17,1.55
2018-01-12,12:48:18,1.57
2018-01-12,13:48:19,1.58
2018-01-12,14:48:29,1.58
2018-01-12,15:48:20,1.56
2018-01-12,16:48:16,1.56
2018-01-12,17:48:19,1.56
2018-01-12,18:48:18,1.56
2018-01-12,19:48:18,1.54
2018-01-12,20:48:20,1.51
2018-01-12,21:48:18,1.51
2018-01-12,22:48:20,1.52
2018-01-12,23:48:18,1.53
2018-01-13,00:48:15,1.53
2018-01-13,01:48:19,1.53
2018-01-13,02:48:19,1.52
2018-01-13,03:48:17,1.52
2018-01-13,04:48:22,1.52
2018-01-13,05:48:20,1.51
2018-01-13,06:48:20,1.51
2018-01-13,07:48:19,1.51
2018-01-13,08:48:16,1.51
2018-01-13,09:48:16,1.51
2018-01-13,10:48:26,1.51
2018-01-13,11:48:17,1.52
2018-01-13,12:48:20,1.52
2018-01-13,13:48:20,1.53
2018-01-13,14:48:22,1.54
2018-01-13,15:48:24,1.54
2018-01-13,16:48:23,1.55
2018-01-13,17:49:53,1.55
2018-01-13,18:48:17,1.56
2018-01-13,19:48:17,1.56
2018-01-13,20:48:30,1.55
2018-01-13,21:48:17,1.54
2018-01-13,22:48:26,1.53
2018-01-13,23:48:20,1.52
2018-01-14,00:48:18,1.51
2018-01-14,01:48:21,1.51
2018-01-14,02:48:19,1.5
2018-01-14,03:48:19,1.5
2018-01-14,04:48:16,1.49
2018-01-14,05:48:19,1.48
2018-01-14,06:48:17,1.46
2018-01-14,07:48:22,1.45
2018-01-14,08:48:20,1.43
2018-01-14,09:48:26,1.41
2018-01-14,10:48:17,1.39
2018-01-14,11:48:20,1.38
