Fecha,PORVL4_AVG
2018-01-12,0.8182608695652174
2018-01-13,0.5329166666666667
2018-01-14,0.4820833333333334
2018-01-15,0.5558333333333333
2018-01-16,0.7641666666666665
2018-01-17,0.8020833333333331
2018-01-18,0.6233333333333333
2018-01-19,0.5824999999999999
2018-01-20,0.7733333333333333
2018-01-21,0.8574999999999996
2018-01-22,0.9058333333333338
2018-01-23,0.9112500000000002
2018-01-24,0.9175
2018-01-25,0.9445833333333332
2018-01-26,0.9721739130434786
2018-01-27,0.9916666666666668
2018-01-28,1.0116666666666665
2018-01-29,1.0258333333333336
2018-01-30,1.0454166666666669
2018-01-31,1.0591666666666664
2018-02-01,1.0745833333333328
2018-02-02,1.1016666666666663
2018-02-03,1.122916666666666
2018-02-04,1.1395833333333332
2018-02-05,1.1628000000000005
2018-02-06,1.1841666666666668
2018-02-07,1.1924999999999997
2018-02-08,1.2124999999999997
2018-02-09,1.2316666666666662
2018-02-10,1.2508000000000006
2018-02-11,1.2679166666666668
2018-02-12,1.27625
2018-02-13,1.2916666666666672
2018-02-14,1.3062499999999997
2018-02-15,1.3133333333333337
2018-02-16,1.3287499999999997
2018-02-17,1.3395833333333336
2018-02-18,1.3420833333333335
2018-02-19,1.3504166666666668
2018-02-20,1.3641666666666667
2018-02-21,1.37125
2018-02-22,1.38125
2018-02-23,1.3883333333333332
2018-02-24,1.393333333333333
2018-02-25,1.4050000000000002
2018-02-26,1.41875
2018-02-27,1.4270833333333333
2018-02-28,1.4270833333333337
2018-03-01,1.4400000000000002
2018-03-02,1.4475
2018-03-03,1.4466666666666663
2018-03-04,1.450416666666667
2018-03-05,1.4720833333333336
2018-03-06,1.487083333333333
2018-03-07,1.4741666666666668
2018-03-08,1.4799999999999995
2018-03-09,1.484166666666666
2018-03-10,1.4883333333333333
2018-03-11,1.4995833333333335
2018-03-12,1.5125000000000004
2018-03-13,1.5104166666666663
2018-03-14,1.5179166666666672
2018-03-15,1.5266666666666668
2018-03-16,1.5287499999999998
2018-03-17,1.5412499999999998
2018-03-18,1.539583333333333
2018-03-19,1.6079166666666664
2018-03-20,1.5891666666666666
2018-03-21,1.594166666666667
2018-03-22,1.5841666666666665
2018-03-23,1.6045833333333333
2018-03-24,1.6204166666666664
2018-03-25,1.6454166666666659
2018-03-26,1.6579166666666665
2018-03-27,1.6850000000000005
2018-03-28,1.685416666666666
2018-03-29,1.6641666666666666
2018-03-30,1.685416666666666
2018-03-31,1.6983333333333337
2018-04-01,1.6866666666666663
2018-04-02,1.6883333333333344
2018-04-03,1.6909999999999996
2018-04-04,
2018-04-05,1.63
2018-04-06,1.6370833333333332
2018-04-07,1.6512500000000003
2018-04-08,1.6233333333333333
2018-04-09,1.6629166666666668
2018-04-10,1.6704166666666669
2018-04-11,1.6145833333333333
2018-04-12,1.4549999999999998
2018-04-13,1.4691304347826086
2018-04-14,1.4883333333333335
2018-04-15,1.5083333333333335
2018-04-16,1.305416666666667
2018-04-17,1.3325000000000002
2018-04-18,1.3524999999999998
2018-04-19,1.3724999999999998
2018-04-20,1.3879166666666665
2018-04-21,1.394583333333333
2018-04-22,1.34375
2018-04-23,1.2108333333333332
2018-04-24,1.253333333333334
2018-04-25,1.2729166666666665
2018-04-26,0.9641666666666668
2018-04-27,0.7633333333333335
2018-04-28,1.04375
2018-04-29,1.100416666666667
2018-04-30,0.9424999999999998
2018-05-01,0.7433333333333333
2018-05-02,0.9066666666666668
2018-05-03,0.6608333333333335
2018-05-04,0.8716666666666667
2018-05-05,0.9687500000000004
2018-05-06,0.9695833333333334
2018-05-07,0.7000000000000001
2018-05-08,0.6508333333333334
2018-05-09,0.8850000000000001
2018-05-10,0.82625
2018-05-11,0.7675000000000001
2018-05-12,0.9229166666666666
2018-05-13,0.9916666666666668
2018-05-14,1.0054166666666664
2018-05-15,0.9633333333333336
2018-05-16,0.9983333333333334
2018-05-17,1.0208333333333337
2018-05-18,0.8637499999999999
2018-05-19,0.7550000000000002
2018-05-20,0.7720833333333332
2018-05-21,0.9554166666666664
2018-05-22,0.9954166666666668
2018-05-23,0.9745833333333334
2018-05-24,0.9191666666666666
2018-05-25,0.9754166666666664
2018-05-26,0.9983333333333332
2018-05-27,0.996666666666667
2018-05-28,1.015
2018-05-29,1.0374999999999996
2018-05-30,1.007083333333333
2018-05-31,0.9066666666666666
2018-06-01,0.9825000000000004
2018-06-02,1.0004166666666672
2018-06-03,1.0224999999999995
2018-06-04,1.0354166666666662
2018-06-05,1.0512499999999998
2018-06-06,1.058333333333333
2018-06-07,0.95875
2018-06-08,0.7675000000000001
2018-06-09,0.9654166666666664
2018-06-10,0.9987500000000006
2018-06-11,0.8504166666666667
2018-06-12,0.7299999999999999
2018-06-13,0.9533333333333333
2018-06-14,0.9137500000000002
2018-06-15,0.57875
2018-06-16,0.8904166666666667
2018-06-17,0.97875
2018-06-18,0.9037500000000002
2018-06-19,0.6470833333333333
2018-06-20,0.7808333333333333
2018-06-21,0.6583333333333333
2018-06-22,0.886666666666667
2018-06-23,0.9487500000000004
2018-06-24,0.9645833333333336
2018-06-25,0.8316666666666666
2018-06-26,0.9229166666666666
2018-06-27,0.8844
2018-06-28,0.8850000000000002
2018-06-29,0.4541666666666668
2018-06-30,0.6358333333333333
2018-07-01,0.8391666666666665
2018-07-02,0.9058333333333338
2018-07-03,0.949583333333333
2018-07-04,0.9812499999999996
2018-07-05,0.9729166666666664
2018-07-06,0.8041666666666666
2018-07-07,0.9304166666666666
2018-07-08,0.9875000000000002
2018-07-09,1.0062500000000003
