Fecha:,Velocidad del viento (Km/h)
2018-01-12,1.1826815703958335
2018-01-13,0.9043282631458333
2018-01-14,1.7247378561041666
2018-01-15,1.2591220170833337
2018-01-16,1.3924411149375
2018-01-17,1.2317979100833334
2018-01-18,0.8052815438124998
2018-01-19,0.9758871823541665
2018-01-20,0.8933056622916667
2018-01-21,2.6931556123541665
2018-01-22,1.8134267957291668
2018-01-23,0.7406792944374999
2018-01-24,2.3323622550208327
2018-01-25,3.1539370112291656
2018-01-26,3.623843634479167
2018-01-27,2.8842893813541663
2018-01-28,3.422491774083334
2018-01-29,3.343767320104167
2018-01-30,4.680419299333333
2018-01-31,4.959294935166666
2018-02-01,4.459820192854166
2018-02-02,4.709010077833333
2018-02-03,4.7470141515416655
2018-02-04,3.908162340479166
2018-02-05,5.08872697675
2018-02-06,4.8416341095
2018-02-07,4.073156623729166
2018-02-08,4.62536009625
2018-02-09,4.038795961791666
2018-02-10,2.6226093230833327
2018-02-11,2.2705893150625003
2018-02-12,2.842588894416666
2018-02-13,4.082498213333333
2018-02-14,4.225973951270833
2018-02-15,4.150858202979166
2018-02-16,3.21839010216129
2018-02-17,3.9683856065833325
2018-02-18,4.450570849729167
2018-02-19,3.262115599729167
2018-02-20,3.892072944958334
2018-02-21,3.1860499262708326
2018-02-22,4.540139574041667
2018-02-23,2.5288606025625007
2018-02-24,2.3826438299166663
2018-02-25,2.790049434666667
2018-02-26,3.175875170645833
2018-02-27,4.129027334958333
2018-02-28,4.166355951791668
2018-03-01,4.633114899708333
2018-03-02,3.8947486066458343
2018-03-03,4.94517185425
2018-03-04,4.495662558958332
2018-03-05,5.413454526
2018-03-06,4.601501801604166
2018-03-07,4.119999237125
2018-03-08,4.091405544875
2018-03-09,3.6945145110833333
2018-03-10,2.898547457166666
2018-03-11,3.4865590688125003
2018-03-12,3.4798451305625
2018-03-13,3.063124016416667
2018-03-14,3.3924953961874986
2018-03-15,4.305922949936171
2018-03-16,4.75228955004651
2018-03-17,4.260586993520833
2018-03-18,1.9486633096874997
2018-03-19,2.2481588809999993
2018-03-20,2.4320449205833334
2018-03-21,3.4519392859791664
2018-03-22,4.0159549822708325
2018-03-23,3.8872373930625
2018-03-24,3.488366791687499
2018-03-25,3.623550051874999
2018-03-26,4.702905760770834
2018-03-27,4.618167642583333
2018-03-28,4.667863848354167
2018-03-29,2.8703867405416665
2018-03-30,4.044234221770833
2018-03-31,4.190078491854166
2018-04-01,2.6104354158749996
2018-04-02,3.5839660671666658
2018-04-03,3.4320785611875
2018-04-04,3.160656908583334
2018-04-05,2.653054789916667
2018-04-06,1.7138295856249999
2018-04-07,2.3832352707291666
2018-04-08,2.468356384666667
2018-04-09,2.3491153694999998
2018-04-10,1.4111767186666668
2018-04-11,2.2563843074791667
2018-04-12,1.8453829017083334
2018-04-13,0.8873021681458332
2018-04-14,1.4155870887708335
2018-04-15,2.0755564611041666
2018-04-16,2.356966358979592
2018-04-17,2.0000273372708333
2018-04-18,2.6600290004166665
2018-04-19,3.5059520035833334
2018-04-20,1.835319174979167
2018-04-21,3.3627739922291675
2018-04-22,0.8591680260208334
2018-04-23,1.0583544077500002
2018-04-24,0.6115178205416666
2018-04-25,0.4768030180833333
2018-04-26,1.086106796645833
2018-04-27,0.8350345770416667
2018-04-28,0.8893927608958333
2018-04-29,2.021772282416666
2018-04-30,1.4680629827083338
2018-05-01,0.7280164296041667
2018-05-02,2.0149871964583332
2018-05-03,1.0100068281041665
2018-05-04,0.7041703043541667
2018-05-05,0.7297822391250001
2018-05-06,1.0653756814791666
2018-05-07,0.9017501049583334
2018-05-08,1.151260107
2018-05-09,0.3184584196458333
2018-05-10,1.992397148125
2018-05-11,0.7585916550624999
2018-05-12,1.3406481394166665
2018-05-13,1.2115416503124998
2018-05-14,1.843053019875
2018-05-15,1.4691325080833335
2018-05-16,1.0684688876666666
2018-05-17,1.1599052278750002
2018-05-18,0.9722452072708334
2018-05-19,1.4057488993333334
2018-05-20,0.93609972975
2018-05-21,1.1993084208749998
2018-05-22,1.6574406835
2018-05-23,0.5768623695833333
2018-05-24,0.9332904815208334
2018-05-25,1.2767288051458332
2018-05-26,1.5344254073333337
2018-05-27,1.324845020958333
2018-05-28,1.4160256240625
2018-05-29,0.6754799424166666
2018-05-30,0.92008101575
2018-05-31,0.8081760903541668
2018-06-01,3.3542732127333332
2018-06-02,1.6702546533125
2018-06-03,0.7150233980833334
2018-06-04,1.0164716744583333
2018-06-05,0.7814100880208333
2018-06-06,0.07616421085416668
2018-06-07,0.2337628643125
2018-06-08,0.1708448925
2018-06-09,0.7951652933541666
2018-06-10,0.8093716150624998
2018-06-11,0.9157289209166667
2018-06-12,0.746793681875
2018-06-13,1.6353230713333335
2018-06-14,0.8410379602291668
2018-06-15,0.9572597232291667
2018-06-16,1.5905337652708333
2018-06-17,2.054650552375
2018-06-18,1.8123751498958336
2018-06-19,1.5375048087500005
2018-06-20,0.9893152106041666
2018-06-21,3.525831019624999
2018-06-22,1.2395894353541668
2018-06-23,1.3670746682916664
2018-06-24,1.8340655800624999
2018-06-25,1.0985536318958335
2018-06-26,1.8088755592083334
2018-06-27,1.2486756011458333
2018-06-28,1.3731144701666667
2018-06-29,1.1632778979166667
2018-06-30,1.2224312311874999
2018-07-01,1.3177401796458332
2018-07-02,2.2066363911458335
2018-07-03,1.1437133680625002
2018-07-04,1.9489519697291666
2018-07-05,1.6830781647916668
2018-07-06,1.4627485591458331
2018-07-07,1.1847195091875002
2018-07-08,2.5475500214583335
2018-07-09,1.363577451375
