PORVL2N1,PORVL2N2,PORVL4N1,PORVL5N1,PORVL6N1,PORVL7N1,PORVL8N1,PORVL9N1,PORVL10N1,PORVL13N1,PORVL14N1,PORVL15N1,PORVL16N1,PORVL16N2,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL21N1,PORVL21N2,PORVL21N3,PORVL21N4,PORVL21N5,PORVL24N1,PORVL24N2
0.48170731707317077,0.8109756097560975,0.8050314465408805,0.7804878048780488,0.7430555555555556,1.0,0.9367088607594936,1.0,1.0,0.8271604938271606,1.0,1.0,1.0,0.9876543209876545,0.56875,0.9141104294478528,0.9716312056737588,1.0,1.0,1.0000000000000002,1.0,1.0,0.8258064516129031,0.8974358974358974,0.9999999999999998
0.3902439024390244,0.8109756097560975,0.6855345911949686,0.6097560975609756,0.6180555555555555,0.8164556962025316,0.8164556962025316,0.8536585365853658,1.0,0.7469135802469137,0.9693251533742331,1.0,1.0,0.9012345679012348,0.56875,0.8159509202453987,0.8297872340425532,0.6851851851851853,0.9925373134328358,0.9496855345911952,1.0,0.8918918918918919,0.8258064516129031,0.6858974358974358,0.9999999999999998
0.30487804878048785,0.5182926829268293,0.5345911949685536,0.32926829268292684,0.45138888888888895,0.6265822784810127,0.6455696202531644,0.6646341463414633,0.5625,0.6049382716049384,0.7177914110429449,0.6028368794326241,0.5655172413793105,0.691358024691358,0.56875,0.48466257668711654,0.7092198581560285,0.4537037037037037,0.8955223880597015,0.6855345911949686,0.5914634146341463,0.5472972972972973,0.5548387096774193,0.5384615384615383,0.7218045112781954
0.030487804878048787,0.0,0.26415094339622647,0.12804878048780488,0.17361111111111108,0.26582278481012656,0.3481012658227848,0.43902439024390244,0.375,0.2962962962962964,0.7791411042944786,0.4184397163120568,0.30344827586206896,0.7654320987654322,0.56875,0.1901840490797546,0.46099290780141844,0.2314814814814815,0.5895522388059702,0.4779874213836479,0.37804878048780494,0.22972972972972974,0.3354838709677419,0.03846153846153845,0.3082706766917293
0.2987804878048781,0.35975609756097565,0.4276729559748429,0.2621951219512195,0.8402777777777778,0.6582278481012658,0.6582278481012658,0.48170731707317077,0.53125,0.5185185185185186,0.6073619631901841,0.44680851063829796,0.3931034482758621,0.8148148148148149,0.475,0.4785276073619632,0.7801418439716312,0.5648148148148149,0.4925373134328359,0.42138364779874216,0.42073170731707316,0.5472972972972973,0.567741935483871,0.39102564102564097,0.6616541353383458
0.4024390243902439,0.48170731707317077,0.4968553459119498,0.4268292682926829,0.9375000000000001,0.5569620253164557,0.6012658227848101,0.5182926829268293,0.51875,0.54320987654321,0.6257668711656442,0.45390070921985826,0.4137931034482759,0.9259259259259258,0.48750000000000004,0.49693251533742333,0.6879432624113476,0.4907407407407407,0.5000000000000001,0.5220125786163523,0.5670731707317073,0.5067567567567567,0.6774193548387096,0.4294871794871795,0.6015037593984962
0.5792682926829268,0.4939024390243903,0.6163522012578618,0.5304878048780488,0.9930555555555555,0.7848101265822784,0.740506329113924,0.5609756097560975,0.7125,0.7037037037037038,0.8343558282208589,0.6099290780141844,0.6068965517241379,0.9999999999999998,0.6062500000000001,0.7546012269938651,0.822695035460993,0.787037037037037,0.5970149253731343,0.49056603773584917,0.6158536585365854,0.4932432432432432,0.7548387096774194,0.6666666666666665,0.8195488721804509
0.43902439024390244,0.8109756097560975,0.7547169811320756,0.6951219512195121,0.6875,0.8987341772151898,0.8797468354430379,0.9268292682926829,1.0,0.8209876543209877,1.0,1.0,1.0,0.9999999999999998,0.56875,0.901840490797546,0.8865248226950355,0.7777777777777777,1.0,1.0000000000000002,1.0,1.0,0.8193548387096773,0.7692307692307692,0.9999999999999998
0.48780487804878053,0.8109756097560975,0.7987421383647799,0.774390243902439,0.7430555555555556,1.0,0.9430379746835442,1.0,1.0,0.8209876543209877,1.0,1.0,1.0,0.9876543209876545,0.56875,0.9079754601226995,0.9716312056737588,1.0,1.0,1.0000000000000002,1.0,1.0,0.8258064516129031,0.8974358974358974,0.9999999999999998
0.5121951219512195,0.573170731707317,0.5723270440251573,0.5,0.9999999999999999,0.7215189873417721,0.7088607594936709,0.5609756097560975,0.725,0.6666666666666667,0.8343558282208589,0.5815602836879434,0.5517241379310346,0.962962962962963,0.575,0.6257668711656442,0.7234042553191491,0.7314814814814814,0.6044776119402985,0.4339622641509435,0.6219512195121951,0.22972972972972974,0.7096774193548386,0.6987179487179486,0.7593984962406013
0.48780487804878053,0.43902439024390244,0.5597484276729561,0.39634146341463417,0.33333333333333326,0.6518987341772151,0.6455696202531644,0.4024390243902439,0.5375,0.5740740740740742,0.6441717791411044,0.5177304964539008,0.45517241379310347,0.7777777777777779,0.5249999999999999,0.5337423312883436,0.7234042553191491,0.2962962962962963,0.5298507462686568,0.5345911949685536,0.4451219512195122,0.46621621621621623,0.4193548387096774,0.4358974358974358,0.6616541353383458
0.5975609756097561,0.7378048780487805,0.9622641509433962,0.8841463414634145,0.9999999999999999,1.0,0.9936708860759493,1.0,0.9875,1.0,1.0,0.9787234042553192,0.876639000598956,0.8395061728395063,1.0,1.0,1.0,1.0,0.9776119402985074,0.8900768359340961,0.9451219512195121,1.0,0.9999999999999999,0.8717948717948717,0.9999999999999998
0.5060975609756098,0.4329268292682927,0.578616352201258,0.41463414634146345,0.7847222222222223,0.6582278481012658,0.6455696202531644,0.46341463414634143,0.6437499999999999,0.5740740740740742,0.656441717791411,0.5248226950354611,0.45517241379310347,0.9876543209876545,0.5375,0.030674846625766874,0.624113475177305,0.5092592592592591,0.6044776119402985,0.4088050314465409,0.4939024390243903,0.08108108108108109,0.6387096774193547,0.044871794871794865,0.6390977443609023
0.6341463414634146,0.8658536585365854,0.8930817610062894,0.9207317073170731,0.7847222222222223,1.0,1.0,1.0,0.89375,0.8209876543209877,1.0,1.0,1.0,0.8641975308641976,1.0,0.9141104294478528,1.0,0.9537037037037035,1.0,1.0000000000000002,0.9878048780487805,0.8581081081081081,0.8580645161290322,0.9999999999999999,0.9999999999999998
0.39634146341463417,0.3353658536585366,0.44654088050314467,0.27439024390243905,0.32638888888888884,0.43670886075949367,0.5822784810126582,0.573170731707317,0.45624999999999993,0.462962962962963,0.42944785276073616,0.4184397163120568,0.35862068965517246,0.2098765432098766,0.38125,0.35582822085889576,0.4255319148936171,0.41666666666666674,0.5522388059701494,0.4339622641509435,0.43902439024390244,0.581081081081081,0.4903225806451613,0.2948717948717948,0.48872180451127817
