Fecha.4,Hora.4,PORVL6N1
2018-01-12,01:53:21,0.9
2018-01-12,02:53:39,0.89
2018-01-12,03:53:19,0.89
2018-01-12,04:53:17,0.89
2018-01-12,05:53:28,0.89
2018-01-12,06:53:46,0.89
2018-01-12,07:53:19,0.89
2018-01-12,08:53:54,0.89
2018-01-12,09:53:20,0.89
2018-01-12,10:53:22,0.89
2018-01-12,11:53:21,0.89
2018-01-12,12:53:20,0.89
2018-01-12,13:53:22,0.89
2018-01-12,14:53:22,0.89
2018-01-12,15:53:21,0.88
2018-01-12,16:53:20,0.89
2018-01-12,17:53:38,0.89
2018-01-12,18:53:18,0.89
2018-01-12,19:53:20,0.72
2018-01-12,20:53:22,0.65
2018-01-12,21:54:23,0.57
2018-01-12,22:53:21,0.56
2018-01-12,23:53:17,0.55
2018-01-13,00:53:16,0.54
2018-01-13,01:53:20,0.54
2018-01-13,02:53:17,0.53
2018-01-13,03:53:18,0.52
2018-01-13,04:53:21,0.51
2018-01-13,05:53:20,0.51
2018-01-13,06:53:17,0.5
2018-01-13,07:53:17,0.49
2018-01-13,08:53:17,0.48
2018-01-13,09:53:23,0.48
2018-01-13,10:53:20,0.49
2018-01-13,11:53:22,0.49
2018-01-13,12:53:26,0.5
2018-01-13,13:53:21,0.51
2018-01-13,14:53:22,0.52
2018-01-13,15:53:21,0.52
2018-01-13,16:53:21,0.53
2018-01-13,17:53:20,0.53
2018-01-13,18:53:17,0.52
2018-01-13,19:53:23,0.52
2018-01-13,20:53:19,0.51
2018-01-13,21:53:24,0.51
2018-01-13,22:53:23,0.5
2018-01-13,23:53:18,0.5
2018-01-14,00:53:17,0.49
2018-01-14,01:53:19,0.49
2018-01-14,02:53:16,0.48
2018-01-14,03:53:16,0.46
2018-01-14,04:53:59,0.47
2018-01-14,05:53:18,0.47
2018-01-14,06:53:21,0.48
2018-01-14,07:53:22,0.48
2018-01-14,08:53:22,0.49
2018-01-14,09:53:37,0.39
2018-01-14,10:53:21,0.4
2018-01-14,11:53:37,0.41
2018-01-14,12:53:23,0.42
2018-01-14,13:53:21,0.43
2018-01-14,14:53:22,0.45
2018-01-14,15:53:20,0.46
2018-01-14,16:53:17,0.48
2018-01-14,17:53:23,0.5
2018-01-14,18:53:18,0.51
