Fecha.23,Hora.23,PORVL24N1
2018-01-12,01:23:18,0.86
2018-01-12,02:23:17,0.85
2018-01-12,03:23:18,0.97
2018-01-12,04:23:19,0.96
2018-01-12,05:23:19,0.95
2018-01-12,06:23:20,0.94
2018-01-12,07:23:21,0.93
2018-01-12,08:23:21,0.92
2018-01-12,09:23:19,0.92
2018-01-12,10:23:19,0.91
2018-01-12,11:23:19,0.91
2018-01-12,12:23:18,0.92
2018-01-12,13:23:23,0.92
2018-01-12,14:23:20,0.93
2018-01-12,15:23:20,0.92
2018-01-12,16:23:21,0.91
2018-01-12,17:23:19,0.91
2018-01-12,18:23:19,0.91
2018-01-12,19:23:18,0.4
2018-01-12,20:24:00,0.16
2018-01-12,21:23:19,0.17
2018-01-12,22:23:20,0.17
2018-01-12,23:23:23,0.16
2018-01-13,00:23:20,0.16
2018-01-13,01:23:20,0.16
2018-01-13,02:23:18,0.16
2018-01-13,03:23:18,0.16
2018-01-13,04:23:18,0.17
2018-01-13,05:23:19,0.17
2018-01-13,06:23:19,0.17
2018-01-13,07:23:20,0.18
2018-01-13,08:23:23,0.18
2018-01-13,09:23:23,0.19
2018-01-13,10:23:19,0.2
2018-01-13,11:23:20,0.21
2018-01-13,12:23:19,0.22
2018-01-13,13:23:22,0.23
2018-01-13,14:23:20,0.23
2018-01-13,15:23:20,0.24
2018-01-13,16:23:21,0.25
2018-01-13,17:23:21,0.26
2018-01-13,18:24:03,0.26
2018-01-13,19:23:19,0.26
2018-01-13,20:23:19,0.27
2018-01-13,21:23:18,0.28
2018-01-13,22:23:24,0.28
2018-01-13,23:23:23,0.28
2018-01-14,00:23:20,0.16
2018-01-14,01:23:23,0.15
2018-01-14,02:23:20,0.15
2018-01-14,03:23:17,0.15
2018-01-14,04:23:19,0.15
2018-01-14,05:23:32,0.15
2018-01-14,06:23:18,0.15
2018-01-14,07:23:22,0.15
2018-01-14,08:23:20,0.15
2018-01-14,09:23:20,0.16
2018-01-14,10:23:25,0.16
2018-01-14,11:23:21,0.18
2018-01-14,12:23:19,0.2
2018-01-14,13:23:18,0.21
2018-01-14,14:23:21,0.23
2018-01-14,15:23:18,0.23
2018-01-14,16:23:20,0.24
