Fecha.21,Hora.21,PORVL21N4
2018-01-12,01:39:04,1.01
2018-01-12,02:39:06,1.01
2018-01-12,03:39:06,1.01
2018-01-12,04:39:06,1.01
2018-01-12,05:39:24,1.01
2018-01-12,06:39:06,1.01
2018-01-12,07:39:06,1.01
2018-01-12,08:39:13,1.0
2018-01-12,09:39:03,1.0
2018-01-12,10:39:18,1.0
2018-01-12,11:39:06,1.0
2018-01-12,12:39:09,1.0
2018-01-12,13:39:04,1.0
2018-01-12,14:39:07,1.0
2018-01-12,15:39:09,1.0
2018-01-12,16:39:10,1.0
2018-01-12,17:39:04,1.0
2018-01-12,18:39:08,1.0
2018-01-12,19:39:09,0.49
2018-01-12,20:39:36,0.49
2018-01-12,21:39:08,0.49
2018-01-12,22:39:08,0.49
2018-01-12,23:39:08,0.49
2018-01-13,00:39:10,0.49
2018-01-13,01:39:08,0.49
2018-01-13,02:39:03,0.49
2018-01-13,03:39:06,0.49
2018-01-13,04:39:06,0.47
2018-01-13,05:39:08,0.46
2018-01-13,06:39:06,0.47
2018-01-13,07:39:13,0.49
2018-01-13,08:39:10,0.51
2018-01-13,09:39:09,0.54
2018-01-13,10:39:04,0.56
2018-01-13,11:39:03,0.58
2018-01-13,12:40:07,0.6
2018-01-13,13:39:24,0.61
2018-01-13,14:39:16,0.63
2018-01-13,15:39:08,0.64
2018-01-13,16:39:08,0.66
2018-01-13,17:39:09,0.67
2018-01-13,18:39:39,0.68
2018-01-13,19:39:05,0.69
2018-01-13,20:39:10,0.7
2018-01-13,21:39:04,0.72
2018-01-13,22:39:07,0.73
2018-01-13,23:39:07,0.59
2018-01-14,00:39:45,0.47
2018-01-14,01:39:08,0.45
2018-01-14,02:39:08,0.44
2018-01-14,03:39:02,0.43
2018-01-14,04:39:03,0.42
2018-01-14,05:39:06,0.41
2018-01-14,06:39:08,0.4
2018-01-14,07:39:07,0.39
2018-01-14,08:39:09,0.38
2018-01-14,09:39:08,0.38
2018-01-14,10:39:08,0.4
2018-01-14,11:39:09,0.38
2018-01-14,12:39:03,0.38
2018-01-14,13:39:04,0.39
2018-01-14,14:39:12,0.59
2018-01-14,15:39:07,0.59
2018-01-14,16:39:10,0.6
2018-01-14,17:39:11,0.61
2018-01-14,18:39:10,0.63
2018-01-14,19:39:10,0.64
2018-01-14,20:39:03,0.65
2018-01-14,21:39:03,0.66
2018-01-14,22:39:05,0.68
2018-01-14,23:39:07,0.69
2018-01-15,00:39:09,0.7
2018-01-15,01:39:07,0.68
2018-01-15,02:39:07,0.67
2018-01-15,03:39:08,0.66
2018-01-15,04:39:09,0.64
2018-01-15,05:39:04,0.63
2018-01-15,06:39:07,0.62
2018-01-15,07:39:06,0.6
2018-01-15,08:39:28,0.59
2018-01-15,09:39:04,0.58
2018-01-15,10:39:08,0.56
2018-01-15,11:39:07,0.55
2018-01-15,12:39:08,0.54
2018-01-15,13:39:02,0.53
2018-01-15,14:39:04,0.7
2018-01-15,15:39:06,0.7
2018-01-15,16:39:08,0.7
2018-01-15,17:39:21,0.71
2018-01-15,18:39:12,0.71
2018-01-15,19:39:08,0.72
2018-01-15,20:39:06,0.72
2018-01-15,21:39:08,0.73
2018-01-15,22:39:03,0.74
2018-01-15,23:39:04,0.74
2018-01-16,00:39:07,0.75
2018-01-16,01:39:07,0.75
2018-01-16,02:39:07,0.76
2018-01-16,03:39:09,0.76
2018-01-16,04:39:09,0.76
2018-01-16,05:39:08,0.77
2018-01-16,06:39:10,0.77
2018-01-16,07:39:03,0.78
2018-01-16,08:39:07,0.78
2018-01-16,09:39:08,0.79
2018-01-16,10:39:08,0.8
2018-01-16,11:39:10,0.8
2018-01-16,12:39:10,0.8
2018-01-16,13:39:08,0.81
2018-01-16,14:39:10,0.81
2018-01-16,15:39:06,0.81
2018-01-16,16:39:16,0.82
2018-01-16,17:39:10,0.82
2018-01-16,18:39:06,0.82
2018-01-16,19:39:17,0.83
2018-01-16,20:39:09,0.83
2018-01-16,21:39:09,0.83
2018-01-16,22:39:07,0.84
2018-01-16,23:39:09,0.84
2018-01-17,00:39:03,0.84
2018-01-17,01:39:07,0.84
2018-01-17,02:39:07,0.85
2018-01-17,03:39:03,0.85
2018-01-17,04:39:04,0.85
2018-01-17,05:39:14,0.85
2018-01-17,06:39:10,0.86
2018-01-17,07:39:10,0.86
2018-01-17,08:39:04,0.86
2018-01-17,09:39:07,0.87
2018-01-17,10:39:12,0.87
2018-01-17,11:39:07,0.87
2018-01-17,12:39:40,0.88
2018-01-17,13:39:08,0.88
2018-01-17,14:39:05,0.88
2018-01-17,15:39:10,0.88
2018-01-17,16:39:09,0.88
2018-01-17,17:39:03,0.88
2018-01-17,18:39:14,0.89
2018-01-17,19:39:08,0.89
2018-01-17,20:39:08,0.89
2018-01-17,21:39:07,0.6
2018-01-17,22:39:09,0.59
2018-01-17,23:39:43,0.59
2018-01-18,00:39:08,0.59
2018-01-18,01:39:03,0.59
2018-01-18,02:39:03,0.59
2018-01-18,03:39:05,0.58
2018-01-18,04:39:08,0.58
2018-01-18,05:39:10,0.58
2018-01-18,06:39:07,0.59
2018-01-18,07:39:09,0.6
2018-01-18,08:39:10,0.62
2018-01-18,09:39:10,0.63
2018-01-18,10:39:04,0.65
2018-01-18,11:39:05,0.66
2018-01-18,12:39:08,0.69
2018-01-18,13:39:07,0.72
2018-01-18,14:39:08,0.72
2018-01-18,15:39:13,0.72
2018-01-18,16:39:10,0.73
2018-01-18,17:39:22,0.73
2018-01-18,18:39:10,0.74
2018-01-18,19:39:05,0.75
2018-01-18,20:40:45,0.75
2018-01-18,21:39:07,0.76
2018-01-18,22:39:07,0.77
2018-01-18,23:39:08,0.77
2018-01-19,00:39:09,0.78
2018-01-19,01:39:15,0.76
2018-01-19,02:39:08,0.63
2018-01-19,03:39:03,0.63
2018-01-19,04:39:06,0.63
2018-01-19,05:39:22,0.63
2018-01-19,06:39:06,0.63
2018-01-19,07:39:08,0.64
2018-01-19,08:39:46,0.64
2018-01-19,09:39:08,0.64
2018-01-19,10:39:08,0.64
2018-01-19,11:39:42,0.64
2018-01-19,12:39:10,0.64
2018-01-19,13:39:09,0.65
2018-01-19,14:39:04,0.65
2018-01-19,15:39:19,0.65
2018-01-19,16:39:10,0.65
2018-01-19,17:39:07,0.66
2018-01-19,18:39:33,0.67
2018-01-19,19:33:21,0.77
2018-01-19,19:39:53,0.68
2018-01-19,20:33:21,0.77
2018-01-19,20:39:09,0.68
2018-01-19,21:33:21,0.77
2018-01-19,21:39:50,0.69
2018-01-19,22:33:21,0.77
2018-01-19,22:39:31,0.7
2018-01-19,23:33:21,0.77
2018-01-19,23:39:19,0.71
2018-01-20,00:33:21,0.77
2018-01-20,00:39:05,0.72
2018-01-20,01:33:21,0.77
2018-01-20,01:39:05,0.72
2018-01-20,02:33:21,0.77
2018-01-20,02:39:08,0.73
2018-01-20,03:33:21,0.77
2018-01-20,03:39:09,0.74
2018-01-20,04:33:21,0.77
2018-01-20,04:39:05,0.74
2018-01-20,05:33:21,0.77
2018-01-20,05:39:06,0.75
2018-01-20,06:33:22,0.77
2018-01-20,06:39:24,0.76
2018-01-20,07:39:42,0.76
2018-01-20,08:33:22,0.77
2018-01-20,09:33:22,0.77
2018-01-20,09:41:21,0.78
2018-01-20,10:33:22,0.77
2018-01-20,10:41:21,0.78
2018-01-20,11:33:22,0.77
2018-01-20,11:41:21,0.79
2018-01-20,12:33:22,0.77
2018-01-20,12:41:22,0.8
2018-01-20,13:33:22,0.77
2018-01-20,13:41:22,0.8
2018-01-20,14:44:13,0.81
2018-01-20,15:44:34,0.81
2018-01-20,16:17:43,0.82
2018-01-20,16:44:14,0.82
2018-01-20,17:44:12,0.82
2018-01-20,18:44:13,0.82
