Numero: ,Estoma:  ,Tara: ,Peso(Kg): ,Sobrepeso(Kg): ,Embarque(Kg): ,Fecha: 
825,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 14:38:27
826,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 14:38:46
827,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 14:39:10
828,PORVB2,2.78,19.68,0.18,19.5,2018-04-11 14:39:24
829,PORVB2,2.78,19.46,-0.04,19.5,2018-04-11 14:39:35
830,PORVB2,2.78,19.74,0.24,19.5,2018-04-11 14:40:07
831,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 14:40:24
832,PORVB2,2.78,19.76,0.26,19.5,2018-04-11 14:40:34
833,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 14:40:44
834,PORVB2,2.78,19.74,0.24,19.5,2018-04-11 14:40:57
835,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 14:41:10
836,PORVB2,2.78,19.78,0.28,19.5,2018-04-11 14:41:28
837,PORVB2,2.78,19.72,0.22,19.5,2018-04-11 14:42:03
838,PORVB2,2.78,19.58,0.08,19.5,2018-04-11 14:42:30
839,PORVB2,2.78,19.88,0.38,19.5,2018-04-11 14:42:39
840,PORVB2,2.78,19.64,0.14,19.5,2018-04-11 14:43:01
841,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 14:43:20
842,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 14:43:45
843,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 14:43:55
844,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 14:44:13
845,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 14:44:27
846,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 14:44:53
847,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 14:45:02
848,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 14:45:32
849,PORVB2,2.78,19.74,0.24,19.5,2018-04-11 14:46:08
850,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 14:46:18
851,PORVB2,2.78,19.62,0.12,19.5,2018-04-11 14:46:37
852,PORVB2,2.78,19.52,0.02,19.5,2018-04-11 14:46:56
853,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 14:47:16
854,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 14:47:25
855,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 14:47:43
856,PORVB2,2.78,19.56,0.06,19.5,2018-04-11 14:48:09
857,PORVB2,2.78,19.6,0.1,19.5,2018-04-11 14:48:15
858,PORVB2,2.78,19.54,0.04,19.5,2018-04-11 14:48:33
859,PORVB2,2.78,19.48,-0.02,19.5,2018-04-11 14:48:48
860,PORVB2,2.78,19.66,0.16,19.5,2018-04-11 14:49:19
861,PORVB2,2.78,19.5,0,19.5,2018-04-11 14:49:40
862,PORVB2,2.78,19.82,0.32,19.5,2018-04-11 14:50:03
863,PORVB2,2.78,19.74,0.24,19.5,2018-04-11 14:50:18
864,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 14:50:30
865,PORVB2,2.78,19.88,0.38,19.5,2018-04-11 14:50:44
866,PORVB2,2.78,19.8,0.3,19.5,2018-04-11 14:51:07
867,PORVB2,2.78,19.86,0.36,19.5,2018-04-11 14:51:33
868,PORVB2,2.78,19.86,0.36,19.5,2018-04-11 14:51:57
869,PORVB2,2.78,19.5,0,19.5,2018-04-11 14:52:08
870,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 14:52:36
871,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 14:53:41
872,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 14:54:22
873,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 14:55:02
874,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 14:55:09
875,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 14:55:21
876,PORVB2,2.78,19.26,-0.04,19.3,2018-04-11 14:55:42
877,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 14:55:59
878,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 14:56:15
879,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 14:56:39
880,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 14:56:57
881,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 14:57:06
882,PORVB2,2.78,19.3,0,19.3,2018-04-11 14:57:24
883,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 14:57:35
884,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 14:57:45
885,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 14:58:01
886,PORVB2,2.78,19.3,0,19.3,2018-04-11 14:58:14
887,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 14:58:38
888,PORVB2,2.78,19.3,0,19.3,2018-04-11 14:58:53
889,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 14:59:06
890,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 14:59:14
891,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 14:59:30
892,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 14:59:39
893,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:00:03
894,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:00:10
895,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 15:00:33
896,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:00:53
897,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 15:01:15
898,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 15:01:24
899,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 15:01:42
900,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 15:01:58
901,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:02:20
902,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 15:02:28
903,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 15:02:45
904,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 15:03:16
905,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:03:26
906,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 15:03:40
907,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:03:57
908,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 15:04:06
909,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 15:04:30
910,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:05:12
911,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:05:27
912,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 15:05:40
913,PORVB2,2.78,19.68,0.38,19.3,2018-04-11 15:06:08
914,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:06:25
915,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 15:06:44
916,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:07:04
917,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 15:07:21
918,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 15:08:03
919,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:08:17
920,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:08:30
921,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 15:09:09
922,PORVB2,2.78,19.3,0,19.3,2018-04-11 15:09:15
923,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:09:21
924,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:09:31
925,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:09:56
926,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 15:10:11
927,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:10:25
928,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 15:10:43
929,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 15:10:50
930,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 15:11:00
931,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:11:18
932,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 15:11:32
933,PORVB2,2.78,19.68,0.38,19.3,2018-04-11 15:11:44
934,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:12:35
935,PORVB2,2.78,19.3,0,19.3,2018-04-11 15:12:53
936,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 15:13:13
937,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 15:13:32
938,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 15:13:54
939,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:14:05
940,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 15:14:25
941,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:14:39
942,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 15:14:59
943,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 15:15:14
944,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:15:27
945,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:15:39
946,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:15:49
947,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:15:59
948,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 15:16:21
949,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 15:16:42
950,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 15:17:03
951,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:17:24
952,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 15:17:41
953,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 15:18:06
954,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:18:17
955,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:18:25
956,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:18:33
957,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:18:49
958,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:18:59
959,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:19:16
960,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 15:19:25
961,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:19:43
962,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 15:19:52
963,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:20:04
964,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 15:20:18
965,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 15:20:31
966,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:20:52
967,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 15:21:32
968,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:21:54
969,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:22:30
970,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 15:22:54
971,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:23:08
972,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 15:23:22
973,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:23:54
974,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:24:07
975,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:24:13
976,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:24:24
977,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 15:24:40
978,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 15:24:59
979,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:25:25
980,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 15:25:40
981,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 15:25:53
982,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 15:26:13
983,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 15:26:36
984,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 15:26:45
985,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:26:58
986,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 15:27:07
987,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 15:27:19
988,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:27:28
989,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 15:28:03
990,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 15:28:27
991,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 15:29:05
992,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 15:29:26
993,PORVB2,2.78,19.3,0,19.3,2018-04-11 15:29:52
994,PORVB2,2.78,18.72,0.12,18.6,2018-04-11 15:31:30
995,PORVB2,2.78,18.74,0.14,18.6,2018-04-11 15:31:40
996,PORVB2,2.78,19,0.4,18.6,2018-04-11 15:32:02
997,PORVB2,2.78,18.74,0.14,18.6,2018-04-11 15:32:11
998,PORVB2,2.78,18.72,0.12,18.6,2018-04-11 15:32:29
999,PORVB2,2.78,19.04,0.44,18.6,2018-04-11 15:32:44
1000,PORVB2,2.78,19.22,0.62,18.6,2018-04-11 15:33:02
1001,PORVB2,2.78,18.8,0.2,18.6,2018-04-11 15:33:15
1002,PORVB2,2.78,18.78,0.18,18.6,2018-04-11 15:33:38
1003,PORVB2,2.78,19.04,0.44,18.6,2018-04-11 15:33:45
1004,PORVB2,2.78,18.78,0.18,18.6,2018-04-11 15:34:13
1005,PORVB2,2.78,19.2,0.6,18.6,2018-04-11 15:34:40
1006,PORVB2,2.78,19.04,0.44,18.6,2018-04-11 15:35:03
1007,PORVB2,2.78,19,0.4,18.6,2018-04-11 15:35:17
1008,PORVB2,2.78,18.82,0.22,18.6,2018-04-11 15:37:02
1009,PORVB2,2.78,18.88,0.28,18.6,2018-04-11 15:37:21
1010,PORVB2,2.78,18.86,0.26,18.6,2018-04-11 15:37:36
1011,PORVB2,2.78,18.98,0.38,18.6,2018-04-11 15:38:02
1012,PORVB2,2.78,19.08,0.48,18.6,2018-04-11 15:38:15
1013,PORVB2,2.78,19.2,0.6,18.6,2018-04-11 15:38:46
1014,PORVB2,2.78,18.86,0.26,18.6,2018-04-11 15:39:16
1015,PORVB2,2.78,19.04,0.44,18.6,2018-04-11 15:39:57
1016,PORVB2,2.78,18.64,0.04,18.6,2018-04-11 15:40:49
1017,PORVB2,2.78,19.06,0.46,18.6,2018-04-11 15:41:07
1018,PORVB2,2.78,18.6,0,18.6,2018-04-11 15:42:27
1019,PORVB2,2.78,18.64,0.04,18.6,2018-04-11 15:42:43
1020,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 15:43:00
1021,PORVB2,2.78,18.64,0.04,18.6,2018-04-11 15:43:18
1022,PORVB2,2.78,18.62,0.02,18.6,2018-04-11 15:43:56
1023,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 15:44:25
1024,PORVB2,2.78,18.72,0.12,18.6,2018-04-11 15:47:24
1025,PORVB2,2.78,18.62,0.02,18.6,2018-04-11 15:47:59
1026,PORVB2,2.78,18.76,0.16,18.6,2018-04-11 15:49:02
1027,PORVB2,2.78,18.6,0,18.6,2018-04-11 15:49:46
1028,PORVB2,2.78,18.64,0.04,18.6,2018-04-11 15:50:10
1029,PORVB2,2.78,18.66,0.06,18.6,2018-04-11 15:50:21
1030,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 15:50:43
1031,PORVB2,2.78,18.64,0.04,18.6,2018-04-11 15:50:58
1032,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 15:51:09
1033,PORVB2,2.78,18.66,0.06,18.6,2018-04-11 15:51:25
1034,PORVB2,2.78,18.6,0,18.6,2018-04-11 15:51:48
1035,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:53:12
1036,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 15:53:29
1037,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:53:45
1038,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:54:00
1039,PORVB2,2.78,19.3,0,19.3,2018-04-11 15:54:18
1040,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:54:42
1041,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 15:54:58
1042,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 15:55:11
1043,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:55:33
1044,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 15:56:02
1045,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 15:56:28
1046,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 15:56:52
1047,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 15:57:04
1048,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 15:58:20
1049,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 15:58:32
1050,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 15:58:38
1051,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 15:58:51
1052,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 15:58:58
1053,PORVB2,2.78,19.72,0.42,19.3,2018-04-11 15:59:12
1054,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 15:59:23
1055,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 15:59:49
1056,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:00:16
1057,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:00:29
1058,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:00:36
1059,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:00:54
1060,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:01:03
1061,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:01:23
1062,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 16:01:41
1063,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 16:01:59
1064,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 16:02:16
1065,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:02:26
1066,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:02:42
1067,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:03:03
1068,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:03:13
1069,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:03:33
1070,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 16:03:58
1071,PORVB2,2.78,19.78,0.48,19.3,2018-04-11 16:04:14
1072,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:04:29
1073,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:04:38
1074,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:05:13
1075,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:05:29
1076,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:05:39
1077,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:05:49
1078,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:06:05
1079,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:06:18
1080,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:06:30
1081,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 16:06:48
1082,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:06:57
1083,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:07:10
1084,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:07:22
1085,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:07:40
1086,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:08:03
1087,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:08:22
1088,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:08:46
1089,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:09:02
1090,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:09:24
1091,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:09:36
1092,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:09:59
1093,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 16:10:24
1094,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:10:49
1095,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:11:23
1096,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:11:55
1097,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:12:08
1098,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:12:18
1099,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:12:33
1100,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:12:48
1101,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:13:01
1102,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:13:28
1103,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:13:49
1104,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 16:14:16
1105,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:14:28
1106,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:14:37
1107,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:14:57
1108,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:15:07
1109,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:15:22
1110,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:15:53
1111,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:16:16
1112,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 16:16:32
1113,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:16:45
1114,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:16:55
1115,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:17:05
1116,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:17:16
1117,PORVB2,2.78,19.66,0.36,19.3,2018-04-11 16:17:29
1118,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:17:36
1119,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:17:49
1120,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:17:56
1121,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 16:18:08
1122,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:18:18
1123,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:18:53
1124,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:19:06
1125,PORVB2,2.78,19.64,0.34,19.3,2018-04-11 16:19:16
1126,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:19:33
1127,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:19:47
1128,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:20:00
1129,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:20:19
1130,PORVB2,2.78,19.58,0.28,19.3,2018-04-11 16:20:31
1131,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:20:56
1132,PORVB2,2.78,18.86,0.26,18.6,2018-04-11 16:22:41
1133,PORVB2,2.78,18.66,0.06,18.6,2018-04-11 16:23:12
1134,PORVB2,2.78,18.76,0.16,18.6,2018-04-11 16:23:23
1135,PORVB2,2.78,19.02,0.42,18.6,2018-04-11 16:23:38
1136,PORVB2,2.78,18.66,0.06,18.6,2018-04-11 16:24:17
1137,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 16:24:41
1138,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 16:25:04
1139,PORVB2,2.78,18.64,0.04,18.6,2018-04-11 16:25:37
1140,PORVB2,2.78,18.68,0.08,18.6,2018-04-11 16:25:53
1141,PORVB2,2.78,18.6,0,18.6,2018-04-11 16:26:07
1142,PORVB2,2.78,18.8,0.2,18.6,2018-04-11 16:26:28
1143,PORVB2,2.78,18.92,0.32,18.6,2018-04-11 16:26:42
1144,PORVB2,2.78,18.7,0.1,18.6,2018-04-11 16:27:17
1145,PORVB2,2.78,18.74,0.14,18.6,2018-04-11 16:28:49
1146,PORVB2,2.78,18.76,0.16,18.6,2018-04-11 16:29:05
1147,PORVB2,2.78,19.28,0.68,18.6,2018-04-11 16:29:19
1148,PORVB2,2.78,18.98,0.38,18.6,2018-04-11 16:29:35
1149,PORVB2,2.78,19.04,0.44,18.6,2018-04-11 16:30:14
1150,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:33:40
1151,PORVB2,2.78,19.3,0,19.3,2018-04-11 16:33:58
1152,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:34:09
1153,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:34:27
1154,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:34:43
1155,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:35:01
1156,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:35:15
1157,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:35:32
1158,PORVB2,2.78,19.52,0.22,19.3,2018-04-11 16:35:40
1159,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:35:49
1160,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:35:55
1161,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:36:10
1162,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:36:27
1163,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:36:44
1164,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:37:01
1165,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:37:19
1166,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:37:31
1167,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:37:39
1168,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:38:11
1169,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:38:41
1170,PORVB2,2.78,19.5,0.2,19.3,2018-04-11 16:38:51
1171,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:39:06
1172,PORVB2,2.78,19.42,0.12,19.3,2018-04-11 16:39:15
1173,PORVB2,2.78,19.62,0.32,19.3,2018-04-11 16:39:24
1174,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:39:43
1175,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:40:00
1176,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:40:10
1177,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:40:50
1178,PORVB2,2.78,19.48,0.18,19.3,2018-04-11 16:41:03
1179,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:41:19
1180,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:41:26
1181,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:41:39
1182,PORVB2,2.78,19.32,0.02,19.3,2018-04-11 16:41:56
1183,PORVB2,2.78,19.34,0.04,19.3,2018-04-11 16:42:08
1184,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:42:22
1185,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:42:39
1186,PORVB2,2.78,19.4,0.1,19.3,2018-04-11 16:42:55
1187,PORVB2,2.78,19.46,0.16,19.3,2018-04-11 16:43:05
1188,PORVB2,2.78,19.54,0.24,19.3,2018-04-11 16:43:12
1189,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:43:25
1190,PORVB2,2.78,19.7,0.4,19.3,2018-04-11 16:43:38
1191,PORVB2,2.78,19.36,0.06,19.3,2018-04-11 16:43:49
1192,PORVB2,2.78,19.44,0.14,19.3,2018-04-11 16:44:14
1193,PORVB2,2.78,19.56,0.26,19.3,2018-04-11 16:44:34
1194,PORVB2,2.78,19.28,-0.02,19.3,2018-04-11 16:44:57
1195,PORVB2,2.78,19.6,0.3,19.3,2018-04-11 16:45:12
1196,PORVB2,2.78,19.38,0.08,19.3,2018-04-11 16:45:24
