Fecha,PORVL2N1,PORVL2N2,PORVL2_AVG
2018-01-12,0.5191304347826088,0.7186956521739133,0.618913043478261
2018-01-13,0.13875,0.2995833333333333,0.21916666666666668
2018-01-14,0.1754166666666667,0.16875000000000004,0.17208333333333337
2018-01-15,0.11166666666666668,0.1341666666666667,0.1229166666666667
2018-01-16,0.29124999999999995,0.335,0.313125
2018-01-17,0.3353846153846152,0.5245833333333333,0.4299839743589743
2018-01-18,0.16124999999999998,0.27874999999999994,0.21999999999999997
2018-01-19,0.17625000000000002,0.2754166666666667,0.22583333333333336
2018-01-20,0.3233333333333334,0.4608333333333334,0.3920833333333334
2018-01-21,0.5183333333333334,0.6616666666666665,0.59
2018-01-22,0.5820833333333332,0.7508333333333334,0.6664583333333333
2018-01-23,0.4166666666666666,0.7937499999999998,0.6052083333333332
2018-01-24,0.31125,0.8254166666666668,0.5683333333333334
2018-01-25,0.5183333333333334,0.8841666666666668,0.7012500000000002
2018-01-26,0.5966666666666663,0.92875,0.7627083333333331
2018-01-27,0.6333333333333335,0.9562500000000004,0.794791666666667
2018-01-28,0.6641666666666667,0.9770833333333334,0.820625
2018-01-29,0.6912499999999996,0.9958333333333332,0.8435416666666664
2018-01-30,0.7191666666666668,1.015,0.8670833333333334
2018-01-31,0.7400000000000001,1.0383333333333329,0.8891666666666664
2018-02-01,0.7641666666666665,1.059583333333333,0.9118749999999998
2018-02-02,0.6666666666666663,1.0787499999999997,0.872708333333333
2018-02-03,0.6350000000000002,1.091666666666667,0.8633333333333336
2018-02-04,0.6516666666666668,1.1033333333333335,0.8775000000000002
2018-02-05,0.6679166666666667,1.125,0.8964583333333334
2018-02-06,0.684583333333333,1.1338888888888887,0.9092361111111109
2018-02-07,0.6987499999999996,1.3900000000000003,1.044375
2018-02-08,0.7108333333333335,1.3900000000000003,1.050416666666667
2018-02-09,0.7212500000000003,1.3900000000000003,1.0556250000000003
2018-02-10,0.7320833333333333,1.3900000000000003,1.0610416666666669
2018-02-11,0.7416666666666668,1.3900000000000003,1.0658333333333336
2018-02-12,0.7525000000000001,1.3900000000000003,1.0712500000000003
2018-02-13,0.7624999999999998,1.3900000000000003,1.0762500000000002
2018-02-14,0.77625,1.3900000000000003,1.0831250000000001
2018-02-15,0.7870833333333329,1.3900000000000003,1.0885416666666665
2018-02-16,0.7975000000000003,1.3900000000000003,1.0937500000000004
2018-02-17,0.8070833333333334,1.3900000000000003,1.0985416666666667
2018-02-18,0.8187500000000002,1.3900000000000003,1.1043750000000003
2018-02-19,0.8262499999999998,1.3900000000000003,1.108125
2018-02-20,0.8354166666666666,1.3900000000000003,1.1127083333333334
2018-02-21,0.8429166666666669,1.3900000000000003,1.1164583333333336
2018-02-22,0.8574999999999998,1.3900000000000003,1.12375
2018-02-23,0.8650000000000001,1.3900000000000003,1.1275000000000002
2018-02-24,0.8737499999999995,1.3900000000000003,1.131875
2018-02-25,0.8845833333333336,1.3900000000000003,1.137291666666667
2018-02-26,0.8879166666666669,1.3900000000000003,1.1389583333333335
2018-02-27,0.9033333333333332,1.3900000000000003,1.1466666666666667
2018-02-28,0.95375,1.3900000000000003,1.1718750000000002
2018-03-01,1.1370833333333337,1.3900000000000003,1.263541666666667
2018-03-02,1.1491666666666664,1.3454166666666671,1.247291666666667
2018-03-03,1.1687500000000002,1.2616666666666667,1.2152083333333334
2018-03-04,1.1833333333333338,1.2700000000000002,1.226666666666667
2018-03-05,1.2012500000000002,1.2845833333333332,1.2429166666666667
2018-03-06,1.2191666666666665,1.3058333333333332,1.2624999999999997
2018-03-07,1.2333333333333327,1.320833333333333,1.277083333333333
2018-03-08,1.2537500000000008,1.3266666666666662,1.2902083333333336
2018-03-09,1.2666666666666664,1.3395833333333336,1.303125
2018-03-10,1.28,1.3539130434782607,1.3169565217391304
2018-03-11,1.2954166666666669,1.377916666666667,1.336666666666667
2018-03-12,1.309583333333333,1.3870833333333332,1.3483333333333332
2018-03-13,1.323749999999999,1.3912499999999997,1.3574999999999995
2018-03-14,1.3358333333333334,1.40625,1.3710416666666667
2018-03-15,1.3504166666666668,1.4254166666666672,1.387916666666667
2018-03-16,1.1820833333333338,1.444583333333333,1.3133333333333335
2018-03-17,1.1129166666666668,1.4675,1.2902083333333334
2018-03-18,1.2058333333333326,1.4704166666666665,1.3381249999999996
2018-03-19,1.4108333333333338,1.485,1.447916666666667
2018-03-20,1.4266666666666667,1.4954166666666668,1.4610416666666668
2018-03-21,1.4279166666666672,1.5112500000000004,1.469583333333334
2018-03-22,1.4425,1.5237500000000004,1.4831250000000002
2018-03-23,1.45,1.5375,1.49375
2018-03-24,1.479583333333333,1.5470833333333331,1.5133333333333332
2018-03-25,1.4954166666666666,1.5570833333333336,1.52625
2018-03-26,1.5120833333333337,1.5645833333333332,1.5383333333333336
2018-03-27,1.5225,1.5775,1.5499999999999998
2018-03-28,1.5395833333333329,1.5850000000000009,1.5622916666666669
2018-03-29,1.559583333333334,1.5879166666666669,1.5737500000000004
2018-03-30,1.5724999999999996,1.587083333333334,1.579791666666667
2018-03-31,1.588333333333334,1.6504166666666673,1.6193750000000007
2018-04-01,1.5900000000000003,1.5849999999999995,1.5875
2018-04-02,1.606666666666667,1.6762499999999998,1.6414583333333335
2018-04-03,1.6166666666666665,1.63,1.623333333333333
2018-04-04,,,
2018-04-05,1.67,1.4578571428571434,1.5639285714285718
2018-04-06,1.692142857142857,1.4491666666666665,1.5706547619047617
2018-04-07,1.691666666666667,1.4375000000000002,1.5645833333333337
2018-04-08,1.6972000000000005,1.4591666666666665,1.5781833333333335
2018-04-09,1.7000000000000002,1.4766666666666666,1.5883333333333334
2018-04-10,1.7000000000000002,1.4345833333333335,1.5672916666666667
2018-04-11,1.68125,1.4,1.540625
2018-04-12,1.2645833333333332,1.2595833333333333,1.2620833333333332
2018-04-13,1.343913043478261,1.280434782608696,1.3121739130434784
2018-04-14,1.3920833333333336,1.3045833333333332,1.3483333333333334
2018-04-15,1.4191666666666671,1.3212499999999998,1.3702083333333335
2018-04-16,1.1469230769230767,1.1345833333333333,1.140753205128205
2018-04-17,1.2170833333333329,1.1100000000000003,1.1635416666666667
2018-04-18,1.26,1.1533333333333335,1.2066666666666668
2018-04-19,1.2866666666666666,1.1866666666666668,1.2366666666666668
2018-04-20,1.3041666666666665,1.2104166666666665,1.2572916666666665
2018-04-21,1.31375,1.2270833333333335,1.2704166666666667
2018-04-22,1.2591666666666663,1.1920833333333334,1.225625
2018-04-23,1.1154166666666665,0.9933333333333328,1.0543749999999996
2018-04-24,1.1733333333333331,1.0179166666666668,1.095625
2018-04-25,1.1929166666666668,1.039583333333333,1.11625
2018-04-26,0.8545833333333334,0.7870833333333335,0.8208333333333334
2018-04-27,0.665,0.5116666666666666,0.5883333333333334
2018-04-28,0.9504166666666666,0.7479166666666667,0.8491666666666666
2018-04-29,1.02875,0.8391666666666665,0.9339583333333332
2018-04-30,0.7595833333333334,0.7524999999999998,0.7560416666666666
2018-05-01,0.615,0.5129166666666668,0.5639583333333333
2018-05-02,0.8170833333333333,0.6739999999999999,0.7455416666666665
2018-05-03,0.54625,0.5108333333333333,0.5285416666666667
2018-05-04,0.7529166666666666,0.6754166666666667,0.7141666666666666
2018-05-05,0.8733333333333335,0.7020833333333333,0.7877083333333335
2018-05-06,0.9200000000000004,0.7334782608695651,0.8267391304347828
2018-05-07,0.6325000000000002,0.5044000000000001,0.5684500000000001
2018-05-08,0.5370833333333334,0.4504166666666667,0.49375
2018-05-09,0.7458333333333332,0.6466666666666666,0.6962499999999999
2018-05-10,0.6808333333333333,0.6050000000000001,0.6429166666666667
2018-05-11,0.6341666666666668,0.5316666666666666,0.5829166666666667
2018-05-12,0.806666666666667,0.7175000000000001,0.7620833333333336
2018-05-13,0.8787499999999998,0.7734782608695648,0.8261141304347823
2018-05-14,0.9087499999999998,0.7908000000000002,0.849775
2018-05-15,0.8537499999999997,0.7487499999999999,0.8012499999999998
2018-05-16,0.9087500000000004,0.7899999999999999,0.8493750000000002
2018-05-17,0.9508333333333336,0.8175,0.8841666666666668
2018-05-18,0.7608333333333334,0.6620833333333332,0.7114583333333333
2018-05-19,0.6354166666666664,0.5683333333333332,0.6018749999999998
2018-05-20,0.6258333333333334,0.5508695652173914,0.5883514492753623
2018-05-21,0.8120833333333332,0.7272000000000002,0.7696416666666667
2018-05-22,0.8649999999999999,0.7658333333333333,0.8154166666666666
2018-05-23,0.8616666666666667,0.7734782608695652,0.8175724637681159
2018-05-24,0.7729166666666664,0.7176000000000003,0.7452583333333334
2018-05-25,0.8304166666666669,0.7547826086956522,0.7925996376811595
2018-05-26,0.8570833333333333,0.7849999999999996,0.8210416666666664
2018-05-27,0.8295833333333335,0.7807999999999998,0.8051916666666666
2018-05-28,0.8837499999999999,0.8030434782608695,0.8433967391304347
2018-05-29,0.9175,0.8218518518518515,0.8696759259259257
2018-05-30,0.8616666666666668,0.7721739130434782,0.8169202898550725
2018-05-31,0.7491666666666666,0.67125,0.7102083333333333
2018-06-01,0.8429166666666665,0.7599999999999999,0.8014583333333332
2018-06-02,0.8708333333333336,0.779565217391304,0.8251992753623187
2018-06-03,0.9104166666666672,0.8079166666666668,0.8591666666666671
2018-06-04,0.9395833333333328,0.8283333333333331,0.883958333333333
2018-06-05,0.9633333333333332,0.8456000000000004,0.9044666666666668
2018-06-06,0.984583333333333,0.855833333333333,0.9202083333333331
2018-06-07,0.9054166666666664,0.7762499999999998,0.8408333333333331
2018-06-08,0.6479166666666666,0.5134782608695653,0.5806974637681159
2018-06-09,0.8162499999999998,0.7175000000000001,0.766875
2018-06-10,0.8416666666666667,0.7404166666666668,0.7910416666666668
2018-06-11,0.7170833333333334,0.6441666666666664,0.6806249999999999
2018-06-12,0.6329166666666667,0.5054166666666667,0.5691666666666667
2018-06-13,0.8054166666666668,0.7162500000000002,0.7608333333333335
2018-06-14,0.7833333333333335,0.7675,0.7754166666666668
2018-06-15,0.42875,0.3845833333333333,0.4066666666666666
2018-06-16,0.7549999999999999,0.6854166666666667,0.7202083333333333
2018-06-17,0.8287500000000003,0.7541666666666665,0.7914583333333334
2018-06-18,0.7762499999999997,0.6904166666666663,0.733333333333333
2018-06-19,0.4954166666666669,0.4466666666666667,0.4710416666666668
2018-06-20,0.6391666666666668,0.57,0.6045833333333334
2018-06-21,0.5091666666666667,0.5345833333333333,0.521875
2018-06-22,0.7395833333333334,0.8050000000000003,0.7722916666666668
2018-06-23,0.7849999999999998,0.8745833333333336,0.8297916666666667
2018-06-24,0.7949999999999999,0.8924999999999997,0.8437499999999998
2018-06-25,0.6483333333333333,0.72375,0.6860416666666667
2018-06-26,0.7637499999999999,0.8466666666666663,0.8052083333333331
2018-06-27,0.7170833333333334,0.8258333333333333,0.7714583333333334
2018-06-28,0.6895833333333335,0.8199999999999998,0.7547916666666667
2018-06-29,0.4658333333333334,0.4275,0.44666666666666666
2018-06-30,0.4600000000000001,0.5575,0.50875
2018-07-01,0.6466666666666666,0.7883333333333336,0.7175
2018-07-02,0.7462500000000002,0.9070833333333336,0.8266666666666669
2018-07-03,0.7887499999999998,0.9425,0.8656249999999999
2018-07-04,0.8362500000000002,1.1179166666666671,0.9770833333333336
2018-07-05,0.8166666666666668,1.05,0.9333333333333333
2018-07-06,0.6266666666666668,0.74625,0.6864583333333334
2018-07-07,0.7545833333333329,0.9320833333333332,0.843333333333333
2018-07-08,0.8220833333333335,1.06125,0.9416666666666668
2018-07-09,0.8583333333333331,1.06625,0.9622916666666665
2018-07-10,0.4533333333333334,0.6708333333333333,0.5620833333333334
2018-07-11,0.4699999999999999,0.5630769230769231,0.5165384615384615
2018-07-12,0.7395833333333334,0.8616666666666667,0.800625
2018-07-13,0.8033333333333336,0.8829166666666667,0.8431250000000001
2018-07-14,0.8287500000000002,0.9116666666666671,0.8702083333333337
2018-07-15,0.80875,0.8308333333333334,0.8197916666666667
2018-07-16,0.6358333333333334,0.6554166666666666,0.645625
2018-07-17,0.7604166666666666,0.8375,0.7989583333333333
2018-07-18,0.8224999999999999,0.8954166666666666,0.8589583333333333
2018-07-19,0.8366666666666663,0.9108333333333332,0.8737499999999998
2018-07-20,0.8025000000000002,0.8837500000000001,0.8431250000000001
2018-07-21,0.8508333333333332,0.9112500000000004,0.8810416666666668
