Fecha,PORVL10
2018-01-12,0.9491304347826084
2018-01-13,0.6945833333333334
2018-01-14,0.6458333333333333
2018-01-15,0.6929629629629626
2018-01-16,0.7739999999999998
2018-01-17,0.7975
2018-01-18,0.7016666666666667
2018-01-19,0.6845833333333333
2018-01-20,0.7900000000000001
2018-01-21,0.8408333333333332
2018-01-22,0.8800000000000002
2018-01-23,0.9057692307692308
2018-01-24,0.941785714285714
2018-01-25,0.99875
2018-01-26,1.080833333333333
2018-01-27,1.3083333333333331
2018-01-28,1.3541666666666667
2018-01-29,1.395833333333333
2018-01-30,1.429166666666667
2018-01-31,1.4312499999999997
2018-02-01,1.4495833333333332
2018-02-02,1.4720833333333327
2018-02-03,1.4912499999999993
2018-02-04,1.5104166666666676
2018-02-05,1.5291666666666668
2018-02-06,1.6304166666666664
2018-02-07,1.6995833333333337
2018-02-08,1.7000000000000002
2018-02-09,1.7000000000000002
2018-02-10,1.7000000000000002
2018-02-11,1.7000000000000002
2018-02-12,1.7000000000000002
2018-02-13,1.7000000000000002
2018-02-14,1.7000000000000002
2018-02-15,1.7000000000000002
2018-02-16,1.7
2018-02-17,1.7000000000000002
2018-02-18,1.7000000000000002
2018-02-19,1.7000000000000002
2018-02-20,1.7000000000000002
2018-02-21,1.7000000000000002
2018-02-22,1.7000000000000002
2018-02-23,1.7000000000000002
2018-02-24,1.7000000000000002
2018-02-25,1.7000000000000002
2018-02-26,1.7000000000000002
2018-02-27,1.6999999999999995
2018-02-28,1.4322222222222225
2018-03-01,1.3808333333333327
2018-03-02,1.4412499999999997
2018-03-03,1.5408333333333333
2018-03-04,1.5366666666666662
2018-03-05,1.5504166666666663
2018-03-06,1.57
2018-03-07,1.5737499999999998
2018-03-08,1.5637499999999998
2018-03-09,1.5616666666666663
2018-03-10,1.5691666666666666
2018-03-11,1.5479166666666664
2018-03-12,1.5449999999999997
2018-03-13,1.53875
2018-03-14,1.539583333333333
2018-03-15,1.5375
2018-03-16,1.538333333333333
2018-03-17,1.54
2018-03-18,1.2912499999999998
2018-03-19,1.330833333333333
2018-03-20,1.3541666666666663
2018-03-21,1.3408333333333335
2018-03-22,1.3654166666666667
2018-03-23,1.3483333333333334
2018-03-24,1.37125
2018-03-25,1.3591666666666666
2018-03-26,1.3525
2018-03-27,1.3420833333333333
2018-03-28,1.3570833333333334
2018-03-29,1.3654166666666667
2018-03-30,1.3525
2018-03-31,1.34
2018-04-01,1.3725000000000005
2018-04-02,1.3904166666666669
2018-04-03,1.3958333333333333
2018-04-04,
2018-04-05,1.6999999999999995
2018-04-06,1.6962500000000007
2018-04-07,1.6974999999999996
2018-04-08,1.6987999999999996
2018-04-09,1.6945833333333329
2018-04-10,1.6966666666666668
2018-04-11,1.6970833333333335
2018-04-12,1.649166666666667
2018-04-13,1.6899999999999995
2018-04-14,1.6574999999999998
2018-04-15,1.680416666666666
2018-04-16,1.7000000000000002
2018-04-17,1.6987499999999995
2018-04-18,1.6925
2018-04-19,1.6962500000000007
2018-04-20,1.690833333333334
2018-04-21,1.6954166666666663
2018-04-22,1.6862499999999994
2018-04-23,1.6908333333333332
2018-04-24,1.6904166666666665
2018-04-25,1.6995833333333337
2018-04-26,1.4529166666666666
2018-04-27,0.8391666666666665
2018-04-28,1.02625
2018-04-29,1.0354166666666669
2018-04-30,1.0216666666666667
2018-05-01,0.765
2018-05-02,0.8599999999999999
2018-05-03,0.74375
2018-05-04,0.8449999999999998
2018-05-05,0.9104166666666668
2018-05-06,0.9362499999999996
2018-05-07,0.8770833333333332
2018-05-08,0.7474999999999999
2018-05-09,0.8741666666666669
2018-05-10,0.8762499999999998
2018-05-11,0.7887499999999998
2018-05-12,0.8766666666666665
2018-05-13,0.9225000000000002
2018-05-14,0.9537500000000004
2018-05-15,1.038333333333333
2018-05-16,1.0633333333333337
2018-05-17,1.0645833333333334
2018-05-18,0.97
2018-05-19,0.8174999999999999
2018-05-20,0.7733333333333334
2018-05-21,0.8933333333333335
2018-05-22,0.9374999999999996
2018-05-23,0.98375
2018-05-24,0.9115384615384622
2018-05-25,0.9391666666666664
2018-05-26,0.9645833333333336
2018-05-27,0.9954166666666664
2018-05-28,0.9883333333333332
2018-05-29,1.0304166666666668
2018-05-30,1.0504166666666666
2018-05-31,0.9658333333333332
2018-06-01,1.0029166666666665
2018-06-02,1.0258333333333336
2018-06-03,1.0420833333333333
2018-06-04,1.0704166666666666
2018-06-05,1.1425000000000003
2018-06-06,1.2124999999999997
2018-06-07,1.1837499999999996
2018-06-08,0.8308333333333332
2018-06-09,0.9279166666666664
2018-06-10,0.9725
2018-06-11,0.88375
2018-06-12,0.81
2018-06-13,0.9162500000000002
2018-06-14,0.9520833333333334
2018-06-15,0.7216666666666666
2018-06-16,0.9096153846153848
2018-06-17,0.9816666666666664
2018-06-18,0.9679166666666668
2018-06-19,0.767083333333333
2018-06-20,0.8275000000000002
2018-06-21,0.7270833333333333
2018-06-22,0.8825
2018-06-23,0.96625
2018-06-24,1.00375
2018-06-25,0.9270833333333334
2018-06-26,0.9537500000000004
2018-06-27,0.9449999999999996
2018-06-28,0.9483333333333333
2018-06-29,0.7779166666666666
2018-06-30,0.7458333333333332
2018-07-01,0.8691666666666663
2018-07-02,0.9132
2018-07-03,0.9611999999999996
2018-07-04,0.9879166666666668
2018-07-05,1.0454166666666669
2018-07-06,0.915
2018-07-07,1.01625
2018-07-08,1.032142857142857
2018-07-09,1.1028260869565218
2018-07-10,0.7145833333333335
2018-07-11,0.7329166666666667
2018-07-12,0.9033333333333332
