Fecha,PORVL18_AVERAGE
2018-01-12,1.0217391304347827
2018-01-13,0.806875
2018-01-14,0.6736458333333334
2018-01-15,0.7565625000000002
2018-01-16,0.8695833333333335
2018-01-17,0.9358333333333335
2018-01-18,0.806875
2018-01-19,0.7480208333333336
2018-01-20,0.9091666666666668
2018-01-21,0.9762500000000003
2018-01-22,1.034375
2018-01-23,1.05375
2018-01-24,1.055
2018-01-25,1.061286858974359
2018-01-26,1.0839583333333334
2018-01-27,1.1057291666666669
2018-01-28,1.1201041666666671
2018-01-29,1.1372916666666666
2018-01-30,1.1483333333333332
2018-01-31,1.1692708333333335
2018-02-01,1.19375
2018-02-02,1.2146875000000004
2018-02-03,1.236875
2018-02-04,1.2611458333333336
2018-02-05,1.2795833333333335
2018-02-06,1.290729166666667
2018-02-07,1.3021875000000003
2018-02-08,1.3156249999999998
2018-02-09,1.3266666666666664
2018-02-10,1.3407291666666667
2018-02-11,1.3604166666666668
2018-02-12,1.3727083333333334
2018-02-13,1.382291666666667
2018-02-14,1.3832291666666667
2018-02-15,1.3914583333333332
2018-02-16,1.4059375000000003
2018-02-17,1.4555208333333336
2018-02-18,1.4600000000000004
2018-02-19,1.4654166666666668
2018-02-20,1.4697916666666668
2018-02-21,1.4674999999999998
2018-02-22,1.4778125
2018-02-23,1.4830208333333335
2018-02-24,1.4886458333333332
2018-02-25,1.4897916666666668
2018-02-26,1.4987500000000002
2018-02-27,1.5175000000000003
2018-02-28,1.5071875000000001
2018-03-01,1.4833333333333336
2018-03-02,1.5472041666666665
2018-03-03,1.656875
2018-03-04,1.6534375000000003
2018-03-05,1.6571875000000003
2018-03-06,1.6558333333333335
2018-03-07,1.6540625000000002
2018-03-08,1.6547916666666667
2018-03-09,1.6547916666666669
2018-03-10,1.6563541666666668
2018-03-11,1.658125
2018-03-12,1.6577083333333333
2018-03-13,1.6539583333333334
2018-03-14,1.6541666666666668
2018-03-15,1.6552083333333334
2018-03-16,1.6566666666666667
2018-03-17,1.6605208333333337
2018-03-18,1.6522916666666667
2018-03-19,1.6535416666666667
2018-03-20,1.6530208333333334
2018-03-21,1.6560416666666669
2018-03-22,1.658854166666667
2018-03-23,1.6578125
2018-03-24,1.6565625
2018-03-25,1.6558333333333333
2018-03-26,1.6534375000000003
2018-03-27,1.6538541666666668
2018-03-28,1.6543750000000004
2018-03-29,1.6529166666666668
2018-03-30,1.6523958333333335
2018-03-31,1.6522916666666667
2018-04-01,1.6486458333333336
2018-04-02,1.6479166666666667
2018-04-03,1.645
2018-04-04,
2018-04-05,1.6597222222222219
2018-04-06,1.6835000000000002
2018-04-07,1.7000000000000002
2018-04-08,1.7000000000000002
2018-04-09,1.7000000000000002
2018-04-10,1.7000000000000002
2018-04-11,1.6997916666666668
2018-04-12,1.7000000000000002
2018-04-13,1.7
2018-04-14,1.7000000000000002
2018-04-15,1.7000000000000002
2018-04-16,1.688983333333334
2018-04-17,1.7000000000000002
2018-04-18,1.7000000000000002
2018-04-19,1.7000000000000002
2018-04-20,1.7000000000000002
2018-04-21,1.7000000000000002
2018-04-22,1.7000000000000002
2018-04-23,1.7000000000000002
2018-04-24,1.7000000000000002
2018-04-25,1.7000000000000002
2018-04-26,1.5846874999999998
2018-04-27,1.2200000000000002
2018-04-28,1.321875
2018-04-29,1.3428125
2018-04-30,1.2445833333333334
2018-05-01,0.9592708333333335
2018-05-02,0.9988541666666666
2018-05-03,0.7603125
2018-05-04,0.8572916666666666
2018-05-05,0.9142708333333333
2018-05-06,0.9678124999999996
2018-05-07,0.8513541666666666
2018-05-08,0.7507291666666667
2018-05-09,0.9051041666666666
2018-05-10,0.8946226449275363
2018-05-11,0.7073958333333333
2018-05-12,0.8951041666666668
2018-05-13,0.9890625000000002
2018-05-14,1.0658771929824562
2018-05-15,1.0970486111111108
2018-05-16,1.126041666666667
2018-05-17,1.154415760869565
2018-05-18,1.1280357142857143
2018-05-19,1.0287132352941175
2018-05-20,0.8491666666666666
2018-05-21,0.9742708333333332
2018-05-22,1.0276041666666664
2018-05-23,1.0224757205513786
2018-05-24,0.983125
2018-05-25,1.0708413461538462
2018-05-26,1.1130208333333333
2018-05-27,1.0987500000000001
2018-05-28,1.1138541666666664
2018-05-29,1.148958333333333
2018-05-30,1.176354166666667
2018-05-31,1.1740625
2018-06-01,1.2247916666666667
2018-06-02,1.2451041666666667
2018-06-03,1.2573958333333335
2018-06-04,1.2826041666666663
2018-06-05,1.2763541666666662
2018-06-06,1.2957291666666668
2018-06-07,1.3023958333333334
2018-06-08,1.2234374999999997
2018-06-09,1.2263541666666666
2018-06-10,1.2244791666666668
2018-06-11,1.0763541666666667
2018-06-12,0.8487499999999999
2018-06-13,0.9831249999999999
2018-06-14,0.9497916666666666
2018-06-15,0.7325
2018-06-16,0.9645833333333333
2018-06-17,1.0563541666666667
2018-06-18,1.0312499999999998
2018-06-19,0.7664583333333332
2018-06-20,0.8697916666666665
2018-06-21,0.7611458333333334
2018-06-22,0.9554166666666668
2018-06-23,1.040104166666667
2018-06-24,1.1208333333333333
2018-06-25,1.0966666666666667
2018-06-26,1.1230208333333336
2018-06-27,1.0524139492753624
2018-06-28,1.0440625
2018-06-29,0.8345833333333332
2018-06-30,0.7945833333333334
2018-07-01,0.9402083333333334
2018-07-02,1.0266333333333333
2018-07-03,1.1167708333333333
2018-07-04,1.1628125000000002
2018-07-05,1.1349999999999998
2018-07-06,1.0147916666666665
2018-07-07,1.0666666666666667
2018-07-08,1.1067708333333333
2018-07-09,1.1363541666666666
2018-07-10,0.8535249999999999
