peso,fecha,nombreLote,numeroLote,lat,lng,nombreFinca
26.5,2018-07-27 10:22:39,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 10:22:41,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 10:22:42,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 10:22:44,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-07-27 10:22:46,5,5,7.76623098,-76.7626756,Porvenir
24,2018-07-27 10:22:48,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-07-27 10:22:50,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 10:22:52,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-07-27 10:22:53,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 10:22:55,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 10:22:57,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 10:22:58,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-07-27 10:23:00,5,5,7.76623098,-76.7626756,Porvenir
33,2018-07-27 10:23:02,5,5,7.76623098,-76.7626756,Porvenir
15.5,2018-07-27 10:23:03,5,5,7.76623098,-76.7626756,Porvenir
13,2018-07-27 10:23:05,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-07-27 10:23:07,5,5,7.76623098,-76.7626756,Porvenir
28,2018-07-27 10:23:08,5,5,7.76623098,-76.7626756,Porvenir
32,2018-07-27 10:23:10,5,5,7.76623098,-76.7626756,Porvenir
24.59,2018-07-27 11:09:23,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 11:09:25,5,5,7.76623098,-76.7626756,Porvenir
34,2018-07-27 11:09:27,5,5,7.76623098,-76.7626756,Porvenir
12.5,2018-07-27 11:09:28,5,5,7.76623098,-76.7626756,Porvenir
17,2018-07-27 11:09:30,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 11:09:31,5,5,7.76623098,-76.7626756,Porvenir
22,2018-07-27 11:09:33,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 11:09:34,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-07-27 11:09:36,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 11:09:37,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-07-27 11:09:39,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 11:09:41,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-07-27 11:09:42,5,5,7.76623098,-76.7626756,Porvenir
30,2018-07-27 11:09:44,5,5,7.76623098,-76.7626756,Porvenir
26,2018-07-27 11:09:46,5,5,7.76623098,-76.7626756,Porvenir
31,2018-07-27 11:09:47,5,5,7.76623098,-76.7626756,Porvenir
32.5,2018-07-27 11:09:49,5,5,7.76623098,-76.7626756,Porvenir
36,2018-07-27 11:09:50,5,5,7.76623098,-76.7626756,Porvenir
13,2018-07-27 11:09:51,5,5,7.76623098,-76.7626756,Porvenir
19,2018-07-27 11:09:53,5,5,7.76623098,-76.7626756,Porvenir
21.59,2018-07-27 11:48:38,5,5,7.76623098,-76.7626756,Porvenir
23,2018-07-27 11:48:40,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-07-27 11:48:42,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 11:48:46,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-07-27 11:48:49,5,5,7.76623098,-76.7626756,Porvenir
14,2018-07-27 11:48:52,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 11:48:54,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 11:48:57,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-07-27 11:48:59,5,5,7.76623098,-76.7626756,Porvenir
13,2018-07-27 11:49:01,5,5,7.76623098,-76.7626756,Porvenir
21,2018-07-27 11:49:03,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 11:49:05,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-07-27 11:49:06,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 11:49:08,5,5,7.76623098,-76.7626756,Porvenir
21,2018-07-27 11:49:10,5,5,7.76623098,-76.7626756,Porvenir
15,2018-07-27 11:49:11,5,5,7.76623098,-76.7626756,Porvenir
27,2018-07-27 11:49:12,5,5,7.76623098,-76.7626756,Porvenir
23,2018-07-27 11:49:14,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-07-27 11:49:15,5,5,7.76623098,-76.7626756,Porvenir
20,2018-07-27 11:49:16,5,5,7.76623098,-76.7626756,Porvenir
