Fecha,PORVL21N5
2018-01-12,0.8160869565217389
2018-01-13,0.656896551724138
2018-01-14,0.5670833333333333
2018-01-15,0.73875
2018-01-16,0.8166666666666668
2018-01-17,0.8779166666666666
2018-01-18,0.8495833333333338
2018-01-19,0.7391666666666667
2018-01-20,0.834
2018-01-21,0.8954166666666669
2018-01-22,0.9470833333333336
2018-01-23,0.9537500000000003
2018-01-24,0.9696000000000001
2018-01-25,1.0033333333333334
2018-01-26,1.0412499999999996
2018-01-27,1.0825000000000005
2018-01-28,1.1304166666666664
2018-01-29,1.1854166666666666
2018-01-30,1.2391666666666667
2018-01-31,1.2904166666666668
2018-02-01,1.35125
2018-02-02,1.406666666666667
2018-02-03,1.3983333333333332
2018-02-04,1.405833333333333
2018-02-05,1.4287500000000002
2018-02-06,1.425
2018-02-07,1.4266666666666667
2018-02-08,1.42875
2018-02-09,1.4316666666666666
2018-02-10,1.43
2018-02-11,1.425833333333334
2018-02-12,1.4200000000000006
2018-02-13,1.4183333333333332
2018-02-14,1.41375
2018-02-15,1.4129166666666666
2018-02-16,1.41
2018-02-17,1.4133333333333338
2018-02-18,1.415
2018-02-19,1.4162499999999998
2018-02-20,1.420416666666667
2018-02-21,1.4191666666666667
2018-02-22,1.4233333333333336
2018-02-23,1.42375
2018-02-24,1.4225
2018-02-25,1.4279166666666667
2018-02-26,1.4316666666666669
2018-02-27,1.4383333333333337
2018-02-28,1.4350000000000005
2018-03-01,1.4454166666666663
2018-03-02,1.4554166666666664
2018-03-03,1.4620833333333332
2018-03-04,1.4741666666666662
2018-03-05,1.468333333333333
2018-03-06,1.473333333333333
2018-03-07,1.4762499999999996
2018-03-08,1.4891666666666667
2018-03-09,1.5029166666666665
2018-03-10,1.4749999999999996
2018-03-11,1.4724999999999995
2018-03-12,1.4716666666666665
2018-03-13,1.4787499999999998
2018-03-14,1.4762499999999994
2018-03-15,1.4754166666666662
2018-03-16,1.4725
2018-03-17,1.4754166666666666
2018-03-18,1.5741666666666667
2018-03-19,1.6112499999999998
2018-03-20,1.5962500000000004
2018-03-21,1.5820833333333335
2018-03-22,1.5737500000000002
2018-03-23,1.5650000000000004
2018-03-24,1.5620833333333337
2018-03-25,1.5645833333333332
2018-03-26,1.5725
2018-03-27,1.567916666666667
2018-03-28,1.56375
2018-03-29,1.5729166666666663
2018-03-30,1.5645833333333332
2018-03-31,1.5612499999999996
2018-04-01,1.5445833333333328
2018-04-02,1.5424999999999995
2018-04-03,1.5419999999999996
2018-04-04,
2018-04-05,1.6999999999999997
2018-04-06,1.7000000000000002
2018-04-07,1.699166666666667
2018-04-08,1.7000000000000002
2018-04-09,1.7000000000000002
2018-04-10,1.7000000000000002
2018-04-11,1.6995833333333332
2018-04-12,1.6904166666666667
2018-04-13,1.7
2018-04-14,1.7000000000000002
2018-04-15,1.7000000000000002
2018-04-16,1.7000000000000002
2018-04-17,1.7000000000000002
2018-04-18,1.7000000000000002
2018-04-19,1.7000000000000002
2018-04-20,1.7000000000000002
2018-04-21,1.7000000000000002
2018-04-22,1.7000000000000002
2018-04-23,1.7000000000000002
2018-04-24,1.7000000000000002
2018-04-25,1.7000000000000002
2018-04-26,1.6708333333333327
2018-04-27,1.3637499999999998
2018-04-28,1.3766666666666663
2018-04-29,1.3733333333333333
2018-04-30,1.158125
2018-05-01,0.82125
2018-05-02,1.0125
2018-05-03,0.8224999999999998
2018-05-04,1.02125
2018-05-05,1.1025
2018-05-06,1.123333333333334
2018-05-07,1.17
2018-05-08,
2018-05-09,0.99
2018-05-10,0.8579166666666665
2018-05-11,0.7183333333333334
2018-05-12,1.0099999999999998
2018-05-13,1.1112499999999996
2018-05-14,1.1991666666666665
2018-05-15,1.2441666666666664
2018-05-16,1.2492000000000003
2018-05-17,1.287083333333333
2018-05-18,1.32
2018-05-19,1.2716666666666663
2018-05-20,1.1387499999999997
2018-05-21,1.170833333333334
2018-05-22,1.17875
2018-05-23,1.1795833333333332
2018-05-24,1.1425
2018-05-25,1.195833333333333
2018-05-26,1.2080000000000004
2018-05-27,1.2575
2018-05-28,1.2650000000000003
2018-05-29,1.2754166666666664
2018-05-30,1.2920833333333326
2018-05-31,1.3399999999999999
2018-06-01,1.3941666666666668
2018-06-02,1.3783333333333327
2018-06-03,1.4158333333333335
2018-06-04,1.4404166666666667
2018-06-05,1.4558333333333335
2018-06-06,1.4600000000000006
2018-06-07,1.4600000000000006
2018-06-08,1.4600000000000006
2018-06-09,1.3996000000000006
2018-06-10,1.3212500000000003
2018-06-11,1.0991666666666664
2018-06-12,0.9504166666666668
2018-06-13,1.1066666666666665
2018-06-14,1.0370833333333331
2018-06-15,0.8112499999999999
2018-06-16,1.038333333333333
2018-06-17,1.1291666666666664
2018-06-18,1.0308333333333335
2018-06-19,0.8212500000000001
2018-06-20,0.9362499999999998
2018-06-21,0.7820833333333335
2018-06-22,1.0033333333333332
2018-06-23,1.0791666666666668
2018-06-24,1.1395833333333334
2018-06-25,1.0562499999999997
2018-06-26,1.1025000000000003
2018-06-27,1.0320833333333332
2018-06-28,1.0320833333333332
2018-06-29,0.7845833333333334
2018-06-30,0.8179166666666667
2018-07-01,0.9737500000000003
2018-07-02,1.0408
2018-07-03,1.081904761904762
2018-07-04,1.1684000000000005
2018-07-05,1.1700000000000006
2018-07-06,1.1700000000000006
2018-07-07,1.1629166666666662
2018-07-08,1.198095238095239
2018-07-09,1.203548387096774
2018-07-10,0.7655000000000001
2018-07-11,0.7742857142857141
2018-07-12,0.9545454545454546
2018-07-13,1.0959999999999996
