Fecha:,Temperatura (C)
2018-05-04,27.36749999999999
2018-05-05,26.529999999999987
2018-05-06,27.898541666666663
2018-05-07,26.938749999999988
2018-05-08,26.87229166666666
2018-05-09,26.664166666666645
2018-05-10,27.856874999999988
2018-05-11,26.831874999999986
2018-05-12,28.624999999999982
2018-05-13,26.352916666666655
2018-05-14,26.478958333333328
2018-05-15,28.84187499999999
2018-05-16,26.338541666666654
2018-05-17,28.15583333333332
2018-05-18,25.948333333333313
2018-05-19,27.53083333333332
2018-05-20,27.21770833333332
2018-05-21,25.301874999999992
2018-05-22,27.51583333333332
2018-05-23,27.82770833333332
2018-05-24,27.717916666666653
2018-05-25,28.528333333333325
2018-05-26,25.38374999999999
2018-05-27,28.091874999999973
2018-05-28,28.076666666666668
2018-05-29,28.274791666666655
2018-05-30,28.40333333333331
2018-05-31,28.58812499999998
2018-06-01,24.339666666666655
2018-06-02,28.13604166666666
2018-06-03,27.5675
2018-06-04,28.27124999999999
2018-06-05,27.708541666666648
2018-06-06,26.320208333333323
2018-06-07,28.75770833333333
2018-06-08,28.62062499999999
2018-06-09,26.92812499999998
2018-06-10,26.221874999999983
2018-06-11,26.28291666666665
2018-06-12,28.869583333333324
2018-06-13,28.155208333333324
2018-06-14,27.830416666666665
2018-06-15,27.783124999999988
2018-06-16,29.291458333333324
2018-06-17,27.27416666666666
2018-06-18,27.318958333333324
2018-06-19,26.325208333333325
2018-06-20,28.31541666666665
2018-06-21,26.912708333333324
2018-06-22,28.15416666666665
2018-06-23,27.470624999999995
2018-06-24,27.22499999999999
2018-06-25,27.942083333333326
2018-06-26,27.13999999999999
2018-06-27,27.72749999999999
2018-06-28,26.00416666666666
2018-06-29,27.29708333333332
2018-06-30,27.331458333333316
2018-07-01,27.973124999999985
2018-07-02,26.823124999999987
2018-07-03,27.65520833333331
2018-07-04,28.950208333333318
2018-07-05,27.69166666666666
2018-07-06,26.886874999999986
2018-07-07,28.287083333333317
2018-07-08,29.89604166666665
2018-07-09,27.252499999999987
2018-07-10,27.633333333333322
2018-07-11,28.408124999999995
2018-07-12,29.034166666666653
2018-07-13,27.911458333333325
2018-07-14,28.48770833333333
2018-07-15,28.025208333333325
2018-07-16,28.31333333333332
2018-07-17,28.375416666666656
2018-07-18,27.769166666666653
2018-07-19,28.12895833333332
2018-07-20,26.864374999999992
2018-07-21,29.238958333333326
2018-07-22,25.813124999999996
2018-07-23,27.06729166666665
2018-07-24,27.38666666666666
2018-07-25,27.12499999999999
2018-07-26,25.711249999999993
2018-07-27,26.73604166666665
2018-07-28,27.753124999999986
2018-07-29,27.11499999999999
2018-07-30,26.723749999999992
2018-07-31,28.35437499999998
2018-08-01,27.495208333333323
2018-08-02,27.274791666666655
2018-08-03,27.846249999999987
