Fecha:,Temperatura (C)
2018-01-12,25.77666666666666
2018-01-13,25.04458333333332
2018-01-14,25.98812499999997
2018-01-15,25.723124999999985
2018-01-16,26.202916666666653
2018-01-17,26.463541666666647
2018-01-18,26.08354166666665
2018-01-19,26.576666666666657
2018-01-20,27.863124999999986
2018-01-21,27.37166666666666
2018-01-22,27.83562499999998
2018-01-23,26.435208333333318
2018-01-24,27.772291666666646
2018-01-25,27.84270833333332
2018-01-26,28.453333333333322
2018-01-27,28.246458333333326
2018-01-28,28.06479166666665
2018-01-29,27.774791666666655
2018-01-30,27.862499999999994
2018-01-31,28.618749999999988
2018-02-01,28.706041666666664
2018-02-02,27.61083333333333
2018-02-03,27.278541666666644
2018-02-04,27.216041666666655
2018-02-05,27.088333333333313
2018-02-06,27.510208333333328
2018-02-07,27.635208333333324
2018-02-08,27.369791666666647
2018-02-09,27.98333333333333
2018-02-10,27.952291666666664
2018-02-11,27.683541666666645
2018-02-12,27.275208333333325
2018-02-13,27.972916666666663
2018-02-14,27.58166666666665
2018-02-15,27.511041666666653
2018-02-16,26.145483870967734
2018-02-17,27.840208333333326
2018-02-18,27.63166666666665
2018-02-19,28.009583333333328
2018-02-20,28.08874999999998
2018-02-21,27.559999999999988
2018-02-22,27.565416666666653
2018-02-23,27.777083333333326
2018-02-24,27.221874999999986
2018-02-25,27.752291666666654
2018-02-26,27.748958333333317
2018-02-27,27.364583333333325
2018-02-28,26.820833333333326
2018-03-01,26.889999999999983
2018-03-02,27.464374999999993
2018-03-03,27.18791666666665
2018-03-04,26.14020833333332
2018-03-05,26.99333333333331
2018-03-06,27.35062499999999
2018-03-07,27.518541666666653
2018-03-08,27.65249999999999
2018-03-09,27.643333333333334
2018-03-10,28.281249999999982
2018-03-11,28.705833333333327
2018-03-12,28.635208333333313
2018-03-13,27.511041666666646
2018-03-14,27.93916666666665
2018-03-15,27.808297872340415
2018-03-16,28.016976744186035
2018-03-17,28.297916666666655
2018-03-18,26.625624999999985
2018-03-19,27.08208333333332
2018-03-20,27.06187499999999
2018-03-21,27.78125
2018-03-22,27.62020833333331
2018-03-23,28.36791666666666
2018-03-24,28.54729166666665
2018-03-25,28.337083333333325
2018-03-26,28.31979166666665
2018-03-27,28.352916666666662
2018-03-28,28.574374999999993
2018-03-29,29.194374999999994
2018-03-30,28.130833333333328
2018-03-31,27.85499999999999
2018-04-01,25.698541666666653
2018-04-02,26.82770833333332
2018-04-03,27.39124999999999
2018-04-04,28.119791666666657
2018-04-05,28.167916666666645
2018-04-06,27.662083333333324
2018-04-07,28.474583333333328
2018-04-08,28.673124999999988
2018-04-09,28.92145833333332
2018-04-10,28.417083333333327
2018-04-11,27.79895833333332
2018-04-12,27.898124999999993
2018-04-13,26.20770833333332
2018-04-14,27.722499999999993
2018-04-15,28.573541666666646
2018-04-16,27.431428571428555
2018-04-17,27.916666666666657
2018-04-18,28.048958333333317
2018-04-19,29.094166666666656
2018-04-20,28.32833333333331
2018-04-21,28.574791666666655
2018-04-22,26.65979166666665
2018-04-23,28.281666666666656
2018-04-24,26.855833333333322
2018-04-25,26.634374999999995
2018-04-26,25.74833333333332
2018-04-27,26.29416666666665
2018-04-28,27.827083333333317
2018-04-29,27.50166666666665
2018-04-30,27.184166666666655
2018-05-01,25.341041666666655
2018-05-02,27.646874999999994
2018-05-03,25.011041666666657
2018-05-04,27.36749999999999
2018-05-05,26.529999999999987
2018-05-06,27.898541666666663
2018-05-07,26.938749999999988
2018-05-08,26.87229166666666
2018-05-09,26.664166666666645
2018-05-10,27.856874999999988
2018-05-11,26.831874999999986
2018-05-12,28.624999999999982
2018-05-13,26.352916666666655
2018-05-14,26.478958333333328
2018-05-15,28.84187499999999
2018-05-16,26.338541666666654
2018-05-17,28.15583333333332
2018-05-18,25.948333333333313
2018-05-19,27.53083333333332
2018-05-20,27.21770833333332
2018-05-21,25.301874999999992
2018-05-22,27.51583333333332
2018-05-23,27.82770833333332
2018-05-24,27.717916666666653
2018-05-25,28.528333333333325
2018-05-26,25.38374999999999
2018-05-27,28.091874999999973
2018-05-28,28.076666666666668
2018-05-29,28.274791666666655
2018-05-30,28.40333333333331
2018-05-31,28.58812499999998
2018-06-01,24.339666666666655
2018-06-02,28.13604166666666
2018-06-03,27.5675
2018-06-04,28.27124999999999
2018-06-05,27.708541666666648
2018-06-06,26.320208333333323
2018-06-07,28.75770833333333
2018-06-08,28.62062499999999
2018-06-09,26.92812499999998
2018-06-10,26.221874999999983
2018-06-11,26.28291666666665
2018-06-12,28.869583333333324
2018-06-13,28.155208333333324
2018-06-14,27.830416666666665
2018-06-15,27.783124999999988
2018-06-16,29.291458333333324
2018-06-17,27.27416666666666
2018-06-18,27.318958333333324
2018-06-19,26.325208333333325
2018-06-20,28.31541666666665
2018-06-21,26.912708333333324
2018-06-22,28.15416666666665
2018-06-23,27.470624999999995
2018-06-24,27.22499999999999
2018-06-25,27.942083333333326
2018-06-26,27.13999999999999
2018-06-27,27.72749999999999
2018-06-28,26.00416666666666
2018-06-29,27.29708333333332
2018-06-30,27.331458333333316
2018-07-01,27.973124999999985
2018-07-02,26.823124999999987
2018-07-03,27.65520833333331
2018-07-04,28.950208333333318
2018-07-05,27.69166666666666
2018-07-06,26.886874999999986
2018-07-07,28.287083333333317
2018-07-08,29.89604166666665
2018-07-09,27.252499999999987
2018-07-10,27.633333333333322
2018-07-11,28.408124999999995
2018-07-12,29.034166666666653
2018-07-13,27.911458333333325
2018-07-14,28.48770833333333
2018-07-15,28.025208333333325
2018-07-16,28.31333333333332
