Fecha,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL18_AVERAGE
2018-01-12,1.0100000000000005,0.8030434782608694,1.241739130434783,1.0321739130434782,1.0217391304347827
2018-01-13,1.0100000000000005,0.3970833333333334,0.9558333333333332,0.8645833333333331,0.806875
2018-01-14,1.0100000000000005,0.29,0.6591666666666666,0.7354166666666666,0.6736458333333334
2018-01-15,1.0100000000000005,0.3791666666666668,0.80875,0.8283333333333336,0.7565625000000002
2018-01-16,1.0100000000000005,0.5820833333333333,0.9954166666666664,0.8908333333333336,0.8695833333333335
2018-01-17,1.0100000000000005,0.6633333333333333,1.1037500000000002,0.96625,0.9358333333333335
2018-01-18,1.0100000000000005,0.48,0.8887499999999999,0.8487499999999998,0.806875
2018-01-19,1.0100000000000005,0.3925,0.7666666666666666,0.822916666666667,0.7480208333333336
2018-01-20,1.0100000000000005,0.5966666666666668,1.1045833333333333,0.9254166666666666,0.9091666666666668
2018-01-21,1.0100000000000005,0.695,1.1916666666666669,1.0083333333333335,0.9762500000000003
2018-01-22,1.0100000000000005,0.7566666666666667,1.3554166666666667,1.0154166666666666,1.034375
2018-01-23,1.0100000000000005,0.8041666666666668,1.3591666666666666,1.0416666666666663,1.05375
2018-01-24,1.0100000000000005,0.8154166666666667,1.325416666666667,1.0691666666666662,1.055
2018-01-25,1.0100000000000005,0.8379166666666666,1.2979999999999998,1.0992307692307688,1.061286858974359
2018-01-26,1.0100000000000005,0.8854166666666666,1.2933333333333332,1.147083333333333,1.0839583333333334
2018-01-27,1.0100000000000005,0.9458333333333332,1.2937500000000004,1.1733333333333336,1.1057291666666669
2018-01-28,1.0100000000000005,1.0108333333333337,1.2920833333333337,1.1675000000000004,1.1201041666666671
2018-01-29,1.0100000000000005,1.0104166666666663,1.3112500000000002,1.2174999999999998,1.1372916666666666
2018-01-30,1.0100000000000005,1.0441666666666662,1.3283333333333331,1.2108333333333332,1.1483333333333332
2018-01-31,1.0100000000000005,1.0841666666666672,1.3458333333333334,1.237083333333333,1.1692708333333335
2018-02-01,1.0100000000000005,1.1387499999999997,1.3645833333333333,1.261666666666667,1.19375
2018-02-02,1.010000000000001,1.169166666666667,1.3758333333333332,1.30375,1.2146875000000004
2018-02-03,1.0100000000000005,1.2175,1.3891666666666662,1.330833333333333,1.236875
2018-02-04,1.0100000000000005,1.2858333333333334,1.4016666666666666,1.3470833333333336,1.2611458333333336
2018-02-05,1.0100000000000005,1.3216666666666663,1.4154166666666668,1.37125,1.2795833333333335
2018-02-06,1.0100000000000005,1.34375,1.4316666666666666,1.3775000000000002,1.290729166666667
2018-02-07,1.0100000000000005,1.3829166666666663,1.4512500000000002,1.3645833333333337,1.3021875000000003
2018-02-08,1.0100000000000005,1.43625,1.4612499999999995,1.3549999999999998,1.3156249999999998
2018-02-09,1.0100000000000005,1.4516666666666664,1.4762499999999994,1.3687499999999997,1.3266666666666664
2018-02-10,1.0100000000000005,1.4804166666666665,1.4891666666666667,1.383333333333333,1.3407291666666667
2018-02-11,1.0100000000000005,1.52625,1.502916666666667,1.4025,1.3604166666666668
2018-02-12,1.0100000000000005,1.53875,1.5095833333333333,1.4325,1.3727083333333334
2018-02-13,1.0100000000000005,1.5412499999999998,1.5216666666666672,1.4562499999999998,1.382291666666667
2018-02-14,1.0100000000000005,1.5412499999999998,1.5324999999999998,1.4491666666666667,1.3832291666666667
2018-02-15,1.0100000000000005,1.54,1.548333333333333,1.4674999999999996,1.3914583333333332
2018-02-16,1.0100000000000005,1.5404166666666663,1.5625000000000002,1.5108333333333337,1.4059375000000003
2018-02-17,1.0100000000000005,1.5420833333333333,1.5745833333333328,1.6954166666666672,1.4555208333333336
2018-02-18,1.0100000000000005,1.5416666666666667,1.588333333333334,1.7000000000000002,1.4600000000000004
2018-02-19,1.0100000000000005,1.5466666666666662,1.6054166666666667,1.6995833333333337,1.4654166666666668
2018-02-20,1.0100000000000005,1.5462499999999997,1.6229166666666666,1.7000000000000002,1.4697916666666668
2018-02-21,1.0100000000000005,1.549166666666666,1.6370833333333332,1.6737499999999998,1.4674999999999998
2018-02-22,1.0100000000000005,1.5504166666666659,1.6529166666666664,1.6979166666666672,1.4778125
2018-02-23,1.0100000000000005,1.5541666666666665,1.667916666666667,1.7000000000000002,1.4830208333333335
2018-02-24,1.0100000000000005,1.5520833333333328,1.6925,1.7000000000000002,1.4886458333333332
2018-02-25,1.0100000000000005,1.5645833333333332,1.7000000000000002,1.684583333333333,1.4897916666666668
2018-02-26,1.0100000000000005,1.606666666666667,1.7000000000000002,1.6783333333333337,1.4987500000000002
2018-02-27,1.0100000000000005,1.6895833333333332,1.7000000000000002,1.6704166666666669,1.5175000000000003
2018-02-28,1.0100000000000005,1.6487500000000004,1.7000000000000002,1.6700000000000002,1.5071875000000001
2018-03-01,1.0100000000000005,1.5645833333333334,1.7000000000000002,1.6587500000000002,1.4833333333333336
2018-03-02,1.2583999999999995,1.5766666666666669,1.7000000000000002,1.6537499999999998,1.5472041666666665
2018-03-03,1.7000000000000002,1.572916666666667,1.7000000000000002,1.654583333333333,1.656875
2018-03-04,1.7000000000000002,1.5687500000000003,1.7000000000000002,1.6450000000000002,1.6534375000000003
2018-03-05,1.7000000000000002,1.5808333333333338,1.7000000000000002,1.647916666666667,1.6571875000000003
2018-03-06,1.7000000000000002,1.5750000000000004,1.7000000000000002,1.6483333333333334,1.6558333333333335
2018-03-07,1.7000000000000002,1.5679166666666668,1.7000000000000002,1.6483333333333334,1.6540625000000002
