Fecha,PORVL16N1,PORVL16N2,PORVL16_AVERAGE
2018-01-12,0.8839130434782606,1.545217391304348,1.2145652173913044
2018-01-13,0.6829166666666668,1.5287499999999998,1.1058333333333334
2018-01-14,0.6070833333333331,1.3866666666666665,0.9968749999999997
2018-01-15,0.6679166666666667,1.22875,0.9483333333333334
2018-01-16,0.8133333333333334,1.227083333333333,1.0202083333333332
2018-01-17,0.8458333333333337,1.2858333333333332,1.0658333333333334
2018-01-18,0.7179166666666666,1.2066666666666666,0.9622916666666665
2018-01-19,0.6758333333333333,1.1245833333333335,0.9002083333333334
2018-01-20,0.8185714285714286,1.17625,0.9974107142857143
2018-01-21,,1.254166666666667,1.254166666666667
2018-01-22,0.9075,1.314583333333333,1.1110416666666665
2018-01-23,0.9420833333333328,1.3604166666666666,1.1512499999999997
2018-01-24,0.9354166666666668,1.4008333333333336,1.1681250000000003
2018-01-25,0.9579166666666666,1.4333333333333338,1.1956250000000002
2018-01-26,1.00375,1.4633333333333332,1.2335416666666665
2018-01-27,1.0470833333333331,1.5491666666666668,1.298125
2018-01-28,1.12,1.6875000000000002,1.40375
2018-01-29,1.1828571428571426,1.7000000000000002,1.4414285714285713
2018-01-30,1.235,1.7000000000000002,1.4675000000000002
2018-01-31,1.26,1.7000000000000002,1.48
2018-02-01,,1.7000000000000002,1.7000000000000002
2018-02-02,1.4026315789473691,1.7000000000000002,1.5513157894736846
2018-02-03,1.4512499999999997,1.65125,1.55125
2018-02-04,1.4950000000000003,1.6116666666666666,1.5533333333333335
2018-02-05,1.5345833333333332,1.6141666666666667,1.5743749999999999
2018-02-06,1.5758333333333336,1.6158333333333332,1.5958333333333334
2018-02-07,1.6079166666666664,1.619166666666666,1.6135416666666662
2018-02-08,1.6895833333333323,1.675833333333334,1.6827083333333333
2018-02-09,1.6862499999999996,1.7000000000000002,1.6931249999999998
2018-02-10,1.6866666666666663,1.7000000000000002,1.6933333333333334
2018-02-11,1.6883333333333328,1.7000000000000002,1.6941666666666664
2018-02-12,1.6883333333333328,1.7000000000000002,1.6941666666666664
2018-02-13,1.6879166666666665,1.6695833333333332,1.67875
2018-02-14,1.6879166666666665,1.670833333333334,1.6793750000000003
2018-02-15,1.6862499999999996,1.6904166666666665,1.688333333333333
2018-02-16,1.6887499999999995,1.684166666666666,1.6864583333333327
2018-02-17,1.6883333333333328,1.690416666666667,1.6893749999999998
2018-02-18,1.6912499999999997,1.6833333333333331,1.6872916666666664
2018-02-19,1.6958333333333335,1.6795833333333328,1.6877083333333331
2018-02-20,1.6966666666666663,1.6829166666666664,1.6897916666666664
2018-02-21,1.694583333333333,1.6829166666666664,1.6887499999999998
2018-02-22,1.6937499999999996,1.6899999999999995,1.6918749999999996
2018-02-23,1.6958333333333335,1.6949999999999996,1.6954166666666666
2018-02-24,1.6954166666666672,1.6837499999999996,1.6895833333333334
2018-02-25,1.7000000000000002,1.6566666666666665,1.6783333333333332
2018-02-26,1.7000000000000002,1.6658333333333328,1.6829166666666664
2018-02-27,1.7000000000000002,1.6662499999999996,1.683125
2018-02-28,1.7000000000000002,1.6587499999999995,1.6793749999999998
2018-03-01,1.7000000000000002,1.6483333333333334,1.6741666666666668
2018-03-02,1.7000000000000002,1.66125,1.680625
2018-03-03,1.7000000000000002,1.6595833333333332,1.6797916666666666
2018-03-04,1.7000000000000002,1.6608333333333334,1.680416666666667
2018-03-05,1.7000000000000002,1.6687500000000002,1.6843750000000002
2018-03-06,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-03-07,1.7000000000000002,1.6429166666666666,1.6714583333333333
2018-03-08,1.7000000000000002,1.6258333333333332,1.6629166666666668
2018-03-09,1.7000000000000002,1.6191666666666669,1.6595833333333334
2018-03-10,1.7000000000000002,1.6104166666666666,1.6552083333333334
2018-03-11,1.7000000000000002,1.617916666666667,1.6589583333333335
2018-03-12,1.7000000000000002,1.6245833333333335,1.662291666666667
2018-03-13,1.7000000000000002,1.5945833333333332,1.6472916666666668
2018-03-14,1.7000000000000002,1.5891666666666673,1.6445833333333337
2018-03-15,1.7000000000000002,1.5854166666666665,1.6427083333333332
2018-03-16,1.7000000000000002,1.5937500000000002,1.646875
2018-03-17,1.7000000000000002,1.6137499999999998,1.6568749999999999
2018-03-18,1.7000000000000002,1.5995833333333336,1.6497916666666668
2018-03-19,1.7000000000000002,1.6029166666666668,1.6514583333333335
2018-03-20,1.7000000000000002,1.5937500000000002,1.646875
2018-03-21,1.7000000000000002,1.5933333333333335,1.646666666666667
2018-03-22,1.7000000000000002,1.590833333333333,1.6454166666666667
2018-03-23,1.7000000000000002,1.6041666666666667,1.6520833333333336
2018-03-24,1.7000000000000002,1.6041666666666672,1.6520833333333336
2018-03-25,1.7000000000000002,1.5966666666666671,1.6483333333333337
2018-03-26,1.7000000000000002,1.597083333333334,1.648541666666667
2018-03-27,1.7000000000000002,1.6237500000000002,1.6618750000000002
2018-03-28,1.7000000000000002,1.7000000000000002,1.7000000000000002
2018-03-29,1.7000000000000002,1.6974999999999996,1.69875
2018-03-30,1.7000000000000002,1.6995833333333337,1.699791666666667
2018-03-31,1.7000000000000002,1.6504166666666664,1.6752083333333334
2018-04-01,1.7000000000000002,1.6587500000000002,1.6793750000000003
2018-04-02,1.7000000000000002,1.6462500000000002,1.6731250000000002
2018-04-03,1.6999999999999995,1.660909090909091,1.6804545454545452
2018-04-04,,,
2018-04-05,1.5299999999999998,1.5790000000000002,1.5545
2018-04-06,1.55875,1.5704166666666668,1.5645833333333334
