Luz (lux),Precipitación (ml),Temperatura (C),Velocidad del viento (Km/h),E,N,NE,NO,O,S,SE,SO,PORVL2N1,PORVL2N2,PORVL4N1,PORVL5N1,PORVL6N1,PORVL7N1,PORVL8N1,PORVL9N1,PORVL10N1,PORVL13N1,PORVL14N1,PORVL15N1,PORVL16N1,PORVL16N2,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL21N1,PORVL21N2,PORVL21N3,PORVL21N4,PORVL21N5,PORVL24N1,PORVL24N2,pesoRacimo
0.455188723512078,0.0,0.0466101694915253,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4555555555555556,0.27826086956521745,0.5,0.6931818181818182,0.8187919463087248,0.7535211267605634,0.9075630252100841,0.5086206896551725,0.8278688524590165,0.7090909090909091,0.6416666666666667,0.7111111111111109,0.3255813953488373,0.8395061728395063,0.6082474226804123,0.43333333333333335,0.6744186046511627,0.7586206896551725,0.4954954954954957,0.9813084112149534,0.7129629629629629,0.632,0.8091603053435114,0.2695652173913044,0.8214285714285714,0.4935238095238096
0.0,0.0,0.3310381355932204,0.02188679245792191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444445,0.19130434782608693,0.5,0.6931818181818182,0.8187919463087248,0.7605633802816902,0.9075630252100841,0.5172413793103449,0.8278688524590165,0.7181818181818181,0.6583333333333334,0.7111111111111109,0.3953488372093023,0.8395061728395063,0.5876288659793815,0.4249999999999999,0.6821705426356588,0.7471264367816092,0.4954954954954957,0.9813084112149534,0.7129629629629629,0.632,0.8091603053435114,0.25217391304347825,0.8214285714285714,0.2078095238095238
0.6306612361343118,0.0,0.642478813559322,0.03908355796201333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488888888888889,0.32173913043478264,0.68,0.045454545454545456,0.6577181208053691,0.5140845070422536,0.7563025210084034,0.5172413793103449,0.9426229508196724,0.5909090909090908,0.5666666666666667,0.6222222222222222,0.4651162790697674,0.6049382716049381,0.5154639175257731,0.4083333333333333,0.6744186046511627,0.574712643678161,0.5315315315315315,0.7743567694779481,0.3703703703703704,0.31999999999999995,0.4274809160305343,0.38260869565217387,0.7678571428571428,0.13161904761904766
0.0,0.0,0.1292372881355932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2444444444444445,0.6086956521739132,0.6900000000000001,0.5795454545454545,0.7718120805369129,0.30281690140845074,0.3613445378151261,0.6206896551724139,0.7704918032786886,0.6363636363636362,0.425,0.6777777777777778,0.5,0.8148148148148149,0.7319587628865979,0.07500000000000001,0.5891472868217055,0.6666666666666666,0.5405405405405406,0.6822429906542057,0.6759259259259258,0.4480000000000001,0.6564885496183206,0.07826086956521741,0.8571428571428572,0.3982857142857144
0.0,0.0,0.5895127118644068,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.8608695652173914,0.89,0.8181818181818182,0.8187919463087248,0.8098591549295776,0.8907563025210083,0.7413793103448277,0.7868852459016394,0.8363636363636363,0.7583333333333333,0.8222222222222222,0.6162790697674418,0.962962962962963,0.8659793814432989,0.7416666666666667,0.7596899224806202,0.7701149425287356,0.7387387387387387,0.6074766355140188,0.7037037037037036,0.7040000000000001,0.7633587786259541,0.39130434782608703,0.8303571428571428,0.3887619047619048
0.0,0.0,0.0466101694915253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6333333333333333,0.4521739130434783,0.6900000000000001,0.4886363636363637,0.5369127516778524,0.5281690140845071,0.7478991596638656,0.7155172413793104,0.6639344262295083,0.6090909090909089,0.4,0.6555555555555554,0.4302325581395349,0.40740740740740733,0.6391752577319587,0.375,0.5193798449612402,0.5977011494252872,0.5495495495495496,0.5981308411214954,0.4074074074074073,0.504,0.6412213740458015,0.3304347826086957,0.625,0.40780952380952384
0.0,0.0,0.1027542372881356,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666668,0.5652173913043479,0.8,0.625,0.9932885906040269,0.7535211267605634,0.823529411764706,0.7844827586206897,0.639344262295082,0.7090909090909091,0.5333333333333333,0.7333333333333334,0.5465116279069768,0.7530864197530864,0.7525773195876287,0.55,0.5116279069767441,0.5057471264367818,0.6936936936936937,0.7850467289719627,0.6296296296296294,0.496,0.8015267175572518,0.5565217391304349,0.5803571428571428,0.3792380952380953
0.0,0.0,0.08262711864406769,0.02162565249262418,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6888888888888891,0.6521739130434783,0.81,0.5909090909090908,0.9798657718120806,0.5140845070422536,0.7478991596638656,0.6982758620689655,0.6311475409836066,0.7181818181818181,0.5666666666666667,0.7555555555555555,0.5930232558139534,0.6049382716049381,0.8247422680412371,0.6083333333333333,0.627906976744186,0.6896551724137929,0.5765765765765767,0.7102803738317758,0.7222222222222221,0.5760000000000001,0.7480916030534351,0.4695652173913045,0.4732142857142856,0.4268571428571429
0.2025938925280129,0.0,0.1885593220338984,0.06744186046417959,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7555555555555556,0.5652173913043479,0.8300000000000001,0.6363636363636364,0.6644295302013422,0.7183098591549296,0.823529411764706,0.8103448275862071,0.6311475409836066,0.7090909090909091,0.5083333333333333,0.7444444444444445,0.5465116279069768,0.4938271604938271,0.7628865979381443,0.5166666666666666,0.503875968992248,0.5287356321839082,0.7117117117117118,0.7009345794392524,0.4722222222222221,0.512,0.7328244274809159,0.39130434782608703,0.6696428571428572,0.17923809523809528
0.0,0.0,0.13241525423728828,0.03485576923807926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6333333333333333,0.7478260869565219,0.54,0.5568181818181819,0.8120805369127516,0.767605633802817,0.8991596638655462,0.7413793103448277,0.8278688524590165,0.7454545454545454,0.7833333333333333,0.7333333333333334,0.6395348837209303,0.8518518518518519,0.9278350515463916,0.44166666666666665,0.7054263565891472,0.7241379310344828,0.5135135135135137,0.9813084112149534,0.7037037037037036,0.616,0.8015267175572518,0.2173913043478261,0.8214285714285714,0.25542857142857145
0.03626194185326302,0.0,0.2680084745762712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6777777777777778,0.4869565217391305,0.74,0.5454545454545455,0.3825503355704698,0.5281690140845071,0.7815126050420169,0.7413793103448277,0.6065573770491803,0.6545454545454544,0.43333333333333335,0.7,0.5,0.22222222222222232,0.6288659793814432,0.4666666666666667,0.4728682170542635,0.5287356321839082,0.6666666666666669,0.6542056074766356,0.6018518518518517,0.4720000000000001,0.13740458015267176,0.40869565217391307,0.5892857142857142,0.3030476190476191
