Fecha:,Velocidad del viento (Km/h)
2018-05-04,0.7041703043541667
2018-05-05,0.7297822391250001
2018-05-06,1.0653756814791666
2018-05-07,0.9017501049583334
2018-05-08,1.151260107
2018-05-09,0.3184584196458333
2018-05-10,1.992397148125
2018-05-11,0.7585916550624999
2018-05-12,1.3406481394166665
2018-05-13,1.2115416503124998
2018-05-14,1.843053019875
2018-05-15,1.4691325080833335
2018-05-16,1.0684688876666666
2018-05-17,1.1599052278750002
2018-05-18,0.9722452072708334
2018-05-19,1.4057488993333334
2018-05-20,0.93609972975
2018-05-21,1.1993084208749998
2018-05-22,1.6574406835
2018-05-23,0.5768623695833333
2018-05-24,0.9332904815208334
2018-05-25,1.2767288051458332
2018-05-26,1.5344254073333337
2018-05-27,1.324845020958333
2018-05-28,1.4160256240625
2018-05-29,0.6754799424166666
2018-05-30,0.92008101575
2018-05-31,0.8081760903541668
2018-06-01,3.3542732127333332
2018-06-02,1.6702546533125
2018-06-03,0.7150233980833334
2018-06-04,1.0164716744583333
2018-06-05,0.7814100880208333
2018-06-06,0.07616421085416668
2018-06-07,0.2337628643125
2018-06-08,0.1708448925
2018-06-09,0.7951652933541666
2018-06-10,0.8093716150624998
2018-06-11,0.9157289209166667
2018-06-12,0.746793681875
2018-06-13,1.6353230713333335
2018-06-14,0.8410379602291668
2018-06-15,0.9572597232291667
2018-06-16,1.5905337652708333
2018-06-17,2.054650552375
2018-06-18,1.8123751498958336
2018-06-19,1.5375048087500005
2018-06-20,0.9893152106041666
2018-06-21,3.525831019624999
2018-06-22,1.2395894353541668
2018-06-23,1.3670746682916664
2018-06-24,1.8340655800624999
2018-06-25,1.0985536318958335
2018-06-26,1.8088755592083334
2018-06-27,1.2486756011458333
2018-06-28,1.3731144701666667
2018-06-29,1.1632778979166667
2018-06-30,1.2224312311874999
2018-07-01,1.3177401796458332
2018-07-02,2.2066363911458335
2018-07-03,1.1437133680625002
2018-07-04,1.9489519697291666
2018-07-05,1.6830781647916668
2018-07-06,1.4627485591458331
2018-07-07,1.1847195091875002
2018-07-08,2.5475500214583335
2018-07-09,1.363577451375
2018-07-10,0.7041512012916668
2018-07-11,1.2861819512083332
2018-07-12,2.2990428462916666
2018-07-13,1.7196021127916665
2018-07-14,1.4680083419791667
2018-07-15,1.4521342875208336
2018-07-16,0.46492322922916657
2018-07-17,1.5136824630833334
2018-07-18,0.8474468423958333
2018-07-19,2.5726948180833333
2018-07-20,1.4730429272708332
2018-07-21,1.5139637560624999
2018-07-22,1.1553841893958332
2018-07-23,1.3754457506249997
2018-07-24,1.2328760842291666
2018-07-25,1.2106333716458333
2018-07-26,1.4235338113958333
2018-07-27,2.1184389815833335
2018-07-28,0.9570729537708332
2018-07-29,1.3858280557291671
2018-07-30,2.0523380733541665
2018-07-31,1.4003773823333334
2018-08-01,1.167884114
2018-08-02,0.7579021583541667
2018-08-03,1.8238576663124997
