Fecha,PORVL2_AVG,PORVL4_AVG,PORVL5_AVG,PORVL6_AVG,PORVL7_AVG,PORVL8_AVG,PORVL9_AVG,PORVL10_AVG,PORVL13_AVG,PORVL14_AVG,PORVL15_AVG,PORVL16_AVG,PORVL18_AVG,PORVL21_AVG,PORVL24_AVG
2018-01-12,0.618913043478261,0.8182608695652174,0.5378260869565219,0.8291304347826087,1.0430434782608693,1.0417391304347825,1.0330434782608695,0.9491304347826084,1.0308695652173914,1.3504347826086955,1.082608695652174,1.2145652173913044,1.0217391304347827,1.0443478260869563,0.9865217391304348
2018-01-13,0.21916666666666668,0.5329166666666667,0.2924999999999999,0.5104166666666665,0.5983333333333334,0.7387500000000004,0.7729166666666667,0.6945833333333334,0.6695833333333333,1.1674999999999998,0.8800000000000002,1.1058333333333334,0.806875,0.7828793103448277,0.48958333333333337
2018-01-14,0.17208333333333337,0.4820833333333334,0.2466666666666667,0.48875,0.5225,0.5841666666666666,0.7250000000000002,0.6458333333333333,0.5187499999999999,0.7866666666666667,0.8416666666666667,0.9968749999999997,0.6736458333333334,0.6684166666666668,0.43104166666666666
2018-01-15,0.1229166666666667,0.5558333333333333,0.2454166666666667,0.5291666666666668,0.4958333333333334,0.6416666666666667,0.7349999999999999,0.6929629629629626,0.6141666666666666,0.6920000000000001,0.8429166666666665,0.9483333333333334,0.7565625000000002,0.7924166666666667,0.5464583333333334
2018-01-16,0.313125,0.7641666666666665,0.4275,0.7179166666666665,0.7929166666666666,0.9295833333333332,0.8929166666666669,0.7739999999999998,0.7987500000000002,0.9008333333333332,0.9625,1.0202083333333332,0.8695833333333335,0.9259999999999999,0.7675000000000002
2018-01-17,0.4299839743589743,0.8020833333333331,0.4512500000000002,0.935,0.9095833333333332,0.9333333333333336,0.8920833333333332,0.7975,0.8350000000000003,0.9916666666666666,0.9875,1.0658333333333334,0.9358333333333335,0.9660833333333333,0.8439583333333334
2018-01-18,0.21999999999999997,0.6233333333333333,0.33875000000000005,0.6179166666666666,0.6124999999999999,0.7825000000000002,0.7874999999999998,0.7016666666666667,0.5541666666666666,0.6695833333333335,0.8937499999999999,0.9622916666666665,0.806875,0.85075,0.5962500000000001
2018-01-19,0.22583333333333336,0.5824999999999999,0.2708333333333333,0.5545833333333334,0.5600000000000002,0.7174999999999998,0.76125,0.6845833333333333,0.5841666666666668,0.6695833333333333,0.8412500000000002,0.9002083333333334,0.7480208333333336,0.7830948275862071,0.5045833333333333
2018-01-20,0.3920833333333334,0.7733333333333333,0.4475000000000002,0.6874999999999999,0.7937499999999997,0.9541666666666668,0.8937500000000003,0.7900000000000001,0.815,0.9229166666666666,0.9695833333333334,0.9974107142857143,0.9091666666666668,0.9307324324324325,0.7452083333333334
2018-01-21,0.59,0.8574999999999996,0.5079166666666665,0.7695833333333332,0.9441666666666664,1.0137500000000002,0.96625,0.8408333333333332,0.8958333333333338,1.0708333333333335,1.0216666666666665,1.254166666666667,0.9762500000000003,1.0065833333333332,0.8820833333333334
2018-01-22,0.6664583333333333,0.9058333333333338,0.5666666666666668,0.8166666666666668,1.0183333333333329,1.0604166666666666,1.0262499999999997,0.8800000000000002,0.9545833333333332,1.17,1.070833333333333,1.1110416666666665,1.034375,1.0573333333333335,0.9862500000000001
2018-01-23,0.6052083333333332,0.9112500000000002,0.5558333333333332,0.8491666666666665,1.05875,1.08625,1.0649999999999995,0.9057692307692308,0.9945833333333336,1.1850000000000005,1.0937500000000002,1.1512499999999997,1.05375,1.08,1.0012499999999998
2018-01-24,0.5683333333333334,0.9175,0.4979166666666666,0.8658333333333331,1.0779166666666666,1.1016666666666666,1.0932000000000002,0.941785714285714,1.0075000000000005,1.1925,1.0983333333333334,1.1681250000000003,1.055,1.1025866666666666,1.0220833333333332
2018-01-25,0.7012500000000002,0.9445833333333332,0.56875,0.8825000000000004,1.1004166666666664,1.1279166666666662,1.1341666666666668,0.99875,1.038333333333333,1.2274999999999996,1.1274999999999995,1.1956250000000002,1.061286858974359,1.1476666666666666,1.0418749999999997
2018-01-26,0.7627083333333331,0.9721739130434786,0.64,0.9045833333333336,1.1295833333333334,1.15,1.1608333333333336,1.080833333333333,1.080416666666667,1.272083333333333,1.1775,1.2335416666666665,1.0839583333333334,1.2033333333333336,1.1091666666666669
2018-01-27,0.794791666666667,0.9916666666666668,0.6933333333333335,0.9258333333333332,1.165,1.1825,1.1679166666666667,1.3083333333333331,1.1354166666666663,1.3104166666666666,1.2445833333333334,1.298125,1.1057291666666669,1.2255,1.072708333333333
2018-01-28,0.820625,1.0116666666666665,0.7375000000000002,0.9458333333333327,1.1858333333333333,1.2104166666666665,1.199166666666667,1.3541666666666667,1.2245833333333331,1.3475,1.3858333333333333,1.40375,1.1201041666666671,1.2503333333333333,1.1433333333333335
2018-01-29,0.8435416666666664,1.0258333333333336,0.7779166666666663,0.97,1.2175000000000002,1.2379166666666663,1.2274999999999994,1.395833333333333,1.0454166666666669,1.3829166666666663,1.4370833333333335,1.4414285714285713,1.1372916666666666,1.2855833333333333,1.1706250000000002
2018-01-30,0.8670833333333334,1.0454166666666669,0.8195833333333332,0.9895833333333334,1.2412500000000002,1.2575000000000005,1.2604166666666663,1.429166666666667,1.01375,1.4158333333333335,1.4268,1.4675000000000002,1.1483333333333332,1.3224999999999998,1.1777083333333334
2018-01-31,0.8891666666666664,1.0591666666666664,0.8583333333333333,1.0112500000000002,1.263333333333333,1.2779166666666668,1.2879166666666668,1.4312499999999997,1.05,1.4483333333333333,1.3470833333333336,1.48,1.1692708333333335,1.3665000000000003,1.205
