,PORVL2N1,PORVL2N2,PORVL4N1,PORVL5N1,PORVL6N1,PORVL7N1,PORVL8N1,PORVL9N1,PORVL10N1,PORVL13N1,PORVL14N1,PORVL15N1,PORVL16N1,PORVL16N2,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL21N1,PORVL21N2,PORVL21N3,PORVL21N4,PORVL21N5,PORVL24N1,PORVL24N2
count,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0
mean,0.7617564508827523,0.7631783295711061,0.8963269927536233,0.6416828031350853,1.41066728884741,1.074165915238954,1.0913906390639063,0.9397783808231569,0.9734141958670259,0.96838695061169,1.0835964912280702,0.9712817028985508,0.8800996828273675,1.525358283888635,0.8830849141824753,0.8717361740707162,1.2003514376996804,1.2242991533396048,1.0822217194570136,0.9385617433414043,0.8678922934076139,1.0106304647952142,1.1286552346570395,0.8124579736483416,1.1962398921832884
std,0.16672305633854345,0.18639118530517854,0.16293668986426735,0.1517883768826019,0.281124024592568,0.2451407364120163,0.17059552390204255,0.1643400030036432,0.15607323563485465,0.1562853304511883,0.22024346419496593,0.1112213559252062,0.11868261531255667,0.18656865320376972,0.12060266275431432,0.2196230176157677,0.20870583501635673,0.13780315832468745,0.10953587757107551,0.1542675748955224,0.17325700986135925,0.2324293163191726,0.2031108543277363,0.25896075999874807,0.19234779816671643
min,0.12,0.06,0.09,0.06,0.19,0.12,0.12,0.06,0.1,0.08,0.26,0.26,0.25,0.89,0.1,0.1,0.29,0.62,0.36,0.09,0.14,0.22,0.15,0.14,0.37
25%,0.71,0.7,0.85,0.53,1.32,0.95,1.05,0.83,0.89,0.9,0.97,0.92,0.82,1.4,0.84,0.76,1.1,1.13,1.03,0.86,0.79,0.9,1.03,0.63,1.12
50%,0.81,0.78,0.96,0.66,1.42,1.15,1.13,0.95,0.95,0.98,1.11,0.99,0.89,1.59,0.9,0.9,1.24,1.224299153339605,1.07,0.94,0.88,1.0,1.17,0.83,1.23
75%,0.87,0.87,1.0,0.75,1.67,1.24,1.19,1.07,1.06,1.07,1.25,1.05,0.95,1.69,0.96,1.04,1.33,1.32,1.16,1.06,1.0,1.2,1.25,1.0,1.33
max,1.02,1.23,1.09,0.94,1.68,1.54,1.31,1.22,1.32,1.22,1.46,1.16,1.21,1.7,1.07,1.36,1.58,1.49,1.47,1.18,1.22,1.47,1.46,1.3,1.49
