,PORVL2N1,PORVL2N2,PORVL4N1,PORVL5N1,PORVL6N1,PORVL7N1,PORVL8N1,PORVL9N1,PORVL10N1,PORVL13N1,PORVL14N1,PORVL15N1,PORVL16N1,PORVL16N2,PORVL18N1,PORVL18N2,PORVL18N3,PORVL18N4,PORVL21N1,PORVL21N2,PORVL21N3,PORVL21N4,PORVL21N5,PORVL24N1,PORVL24N2
count,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0,4880.0
mean,0.893425419278095,0.9924944533181264,1.1109671417065488,0.9415555834852344,1.340499232879038,1.297389692412736,1.2976724293455884,1.2377199640467533,1.214489080395239,1.2137495050770593,1.3292104042720903,1.2717047295968043,1.2192531124441557,1.556019875591222,1.1263219662940624,1.1400960227946768,1.3841647535748314,1.376002187729873,1.3566630040618113,1.2430676910906056,1.200951713163415,1.2677078601971346,1.2732156863208606,1.0991890519340501,1.4051674901975957
std,0.3459506898213174,0.36378287687242145,0.32234085501487647,0.43469515261493474,0.2983147095428206,0.35755270425725794,0.3161503221373291,0.37050042567765273,0.3414887876953178,0.3455995607064518,0.3406840659796634,0.354804778485329,0.4062119486303057,0.15868823860349363,0.35585700680139065,0.4064935451885904,0.2847604751389735,0.2571168742336707,0.2973098307015255,0.35660746142755906,0.41226332816931954,0.3792109316021621,0.28194276208358265,0.45298808660324985,0.2946620921825
min,0.06,0.06,0.09,0.06,0.19,0.12,0.12,0.06,0.1,0.08,0.07,0.26,0.25,0.89,0.1,0.07,0.29,0.62,0.36,0.09,0.06,0.22,0.15,0.14,0.37
25%,0.71,0.75,0.91,0.59,1.19,1.09,1.1,0.93,0.93,0.96,1.1,0.97,0.87,1.5175,0.91,0.84,1.21,1.18,1.08,0.95,0.86,0.96,1.09,0.76,1.21
50%,0.84,0.93,1.02,0.79,1.37,1.27,1.22,1.14,1.12,1.14,1.32,1.1,1.03,1.6,1.01,1.08,1.41,1.36,1.28,1.14,1.06,1.22,1.29,1.06,1.39
75%,1.11,1.39,1.39,1.34,1.65,1.7,1.67,1.7,1.54,1.51,1.7,1.7,1.7,1.69,1.7,1.56,1.7,1.65,1.7,1.7,1.68,1.7,1.46,1.58,1.7
max,1.7,1.7,1.7,1.7,1.68,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
