,Luz (lux)
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,11
733,1578
734,6084
735,11548
736,17116
737,25655
738,20721
739,16548
740,23982
741,39330
742,48697
743,46555
744,44508
745,50367
746,32855
747,53280
748,43518
749,37601
750,29361
751,16735
752,16363
753,12635
754,7283
755,5025
756,1018
757,3
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,8
781,1319
782,7121
783,13068
784,17505
785,25085
786,24253
787,23449
788,28387
789,23449
790,48697
791,45520
792,45011
793,50937
794,44010
795,53280
796,42551
797,42075
798,22167
799,25085
800,15820
801,12777
802,9017
803,5082
804,1114
805,4
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,8
829,1030
830,5376
831,9756
832,18106
833,20955
834,15125
835,21674
836,31410
837,41139
838,22671
839,44010
840,46555
841,33982
842,48152
843,52684
844,51513
845,46035
846,35545
847,25946
848,18106
849,11165
850,9119
851,4059
852,941
853,3
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,8
877,1077
878,3969
879,8718
880,9539
881,26239
882,25369
883,25655
884,38891
885,47614
886,50937
887,32855
888,28708
889,32855
890,34755
891,53280
892,27446
893,42551
894,32124
895,22927
896,18310
897,14788
898,6293
899,4342
900,1102
901,3
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,10
925,1476
926,6732
927,7449
928,16180
929,25946
930,33602
931,38891
932,37180
933,45011
934,27756
935,48697
936,40225
937,48152
938,30368
939,50937
940,47082
941,40679
942,32488
943,19810
944,15469
945,12777
946,9017
947,5140
948,973
949,4
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,9
973,1219
974,5437
975,11810
976,12635
977,25085
978,21674
979,38456
980,36765
981,41605
982,49804
983,45011
984,45011
985,48697
986,18310
987,47082
988,45520
989,39330
990,32124
991,20721
992,16735
993,13216
994,9647
995,5140
996,1192
997,4
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,4
1021,786
1022,2114
1023,9327
1024,17116
1025,19588
1026,31059
1027,30712
1028,41139
1029,44508
1030,43032
1031,21432
1032,25655
1033,41605
1034,30029
1035,31410
1036,36765
1037,46555
1038,25655
1039,25655
1040,9866
1041,7449
1042,7879
1043,2618
1044,628
1045,3
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,4
1069,822
1070,6808
1071,16735
1072,15644
1073,27446
1074,32855
1075,24253
1076,42075
1077,44508
1078,47614
1079,42551
1080,24805
1081,47082
1082,30029
1083,31765
1084,32488
1085,31765
1086,31765
1087,33602
1088,15820
1089,17309
1090,13669
1091,7041
1092,1578
1093,5
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,5
1117,1007
1118,5376
1119,14138
1120,21192
1121,25655
1122,34755
1123,27139
1124,39775
1125,27139
1126,49804
1127,47082
1128,45011
1129,40679
1130,16548
1131,48697
1132,48152
1133,41139
1134,33982
1135,25085
1136,14788
1137,11291
1138,9017
1139,4391
1140,1192
1141,5
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,7
1165,1411
1166,3880
1167,10795
1168,16180
1169,18106
1170,33602
1171,14138
1172,30029
1173,34366
1174,45520
1175,49247
1176,34755
