Fecha:,Luz (lux)
2018-01-12,9183.479166666666
2018-01-13,7431.8125
2018-01-14,11073.1875
2018-01-15,11456.25
2018-01-16,9755.833333333334
2018-01-17,12816.083333333334
2018-01-18,9685.291666666666
2018-01-19,9758.354166666666
2018-01-20,10748.916666666666
2018-01-21,9565.729166666666
2018-01-22,10714.416666666666
2018-01-23,7139.229166666667
2018-01-24,10953.208333333334
2018-01-25,10587.333333333334
2018-01-26,13182.416666666666
2018-01-27,12674.979166666666
2018-01-28,13058.604166666666
2018-01-29,12814.3125
2018-01-30,12299.520833333334
2018-01-31,13376.520833333334
2018-02-01,13172.104166666666
2018-02-02,11512.729166666666
2018-02-03,12917.916666666666
2018-02-04,13188.875
2018-02-05,12048.354166666666
2018-02-06,13302.625
2018-02-07,12896.333333333334
2018-02-08,12918.0625
2018-02-09,13508.583333333334
2018-02-10,12995.604166666666
2018-02-11,12072.791666666666
2018-02-12,12181.5625
2018-02-13,12544.479166666666
2018-02-14,10845.791666666666
2018-02-15,11792.833333333334
2018-02-16,3831.7741935483873
2018-02-17,11071.6875
2018-02-18,12124.25
2018-02-19,11631.291666666666
2018-02-20,11112.125
2018-02-21,11669.625
2018-02-22,11078.270833333334
2018-02-23,12459.833333333334
2018-02-24,11072.625
2018-02-25,13067.333333333334
2018-02-26,12663.1875
2018-02-27,13580.3125
2018-02-28,14731.291666666666
2018-03-01,13138.354166666666
2018-03-02,14781.145833333334
2018-03-03,11948.520833333334
2018-03-04,9876.166666666666
2018-03-05,14776.375
2018-03-06,13507.395833333334
2018-03-07,12439.645833333334
2018-03-08,8909.520833333334
2018-03-09,9079.083333333334
2018-03-10,10350.395833333334
2018-03-11,12718.625
2018-03-12,12012.104166666666
2018-03-13,8275.458333333334
2018-03-14,10209.020833333334
2018-03-15,10999.872340425532
2018-03-16,9990.0
2018-03-17,12178.958333333334
2018-03-18,9979.354166666666
2018-03-19,9664.479166666666
2018-03-20,8791.9375
2018-03-21,10256.125
2018-03-22,7637.875
2018-03-23,12955.6875
2018-03-24,12735.8125
2018-03-25,13223.291666666666
2018-03-26,10994.395833333334
2018-03-27,12459.229166666666
2018-03-28,13185.791666666666
2018-03-29,12493.75
2018-03-30,12131.958333333334
2018-03-31,12896.75
2018-04-01,10080.395833333334
2018-04-02,10778.666666666666
2018-04-03,13526.979166666666
2018-04-04,15085.4375
2018-04-05,15595.145833333334
2018-04-06,14581.9375
2018-04-07,15372.75
2018-04-08,15034.333333333334
2018-04-09,14207.75
2018-04-10,12121.291666666666
2018-04-11,13100.25
2018-04-12,13714.9375
2018-04-13,8722.333333333334
2018-04-14,13159.270833333334
2018-04-15,15223.604166666666
2018-04-16,9166.326530612245
2018-04-17,10937.75
2018-04-18,11511.958333333334
2018-04-19,14678.875
2018-04-20,10224.458333333334
2018-04-21,9921.708333333334
2018-04-22,6287.333333333333
2018-04-23,10517.125
2018-04-24,6310.458333333333
2018-04-25,6551.958333333333
2018-04-26,6741.791666666667
2018-04-27,10047.958333333334
2018-04-28,11478.208333333334
2018-04-29,9978.0625
2018-04-30,10932.895833333334
2018-05-01,6617.375
2018-05-02,11599.458333333334
2018-05-03,3669.9583333333335
2018-05-04,12255.729166666666
2018-05-05,8340.875
2018-05-06,13131.958333333334
